Arrowhead Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Arrowhead Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Arrowhead Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Arrowhead Pharmaceuticals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,20.84,,0.0
2024-06-30,25.99,$-4.41,0.0
2024-03-31,28.6,$-4.03,0.0
2023-12-31,30.6,$-3.75,0.0
2023-09-30,26.87,$-3.10,0.0
2023-06-30,35.66,$-3.22,0.0
2023-03-31,25.4,$-3.31,0.0
2022-12-31,40.56,$-2.23,0.0
2022-09-30,33.05,$-1.79,0.0
2022-06-30,35.21,$-1.13,0.0
2022-03-31,45.99,$-0.72,0.0
2021-12-31,66.3,$1.20,55.13
2021-09-30,62.43,$1.42,43.84
2021-06-30,82.82,$1.59,52.15
2021-03-31,66.31,$1.57,42.33
2020-12-31,76.73,$-1.20,0.0
2020-09-30,43.06,$-1.07,0.0
2020-06-30,43.19,$-0.86,0.0
2020-03-31,28.77,$-0.45,0.0
2019-12-31,63.43,$-0.41,0.0
2019-09-30,28.18,$1.63,17.26
2019-06-30,26.5,$1.50,17.63
2019-03-31,18.35,$1.29,14.23
2018-12-31,12.42,$1.37,9.07
2018-09-30,19.17,$-0.58,0.0
2018-06-30,13.6,$-0.65,0.0
2018-03-31,7.21,$-0.65,0.0
2017-12-31,3.68,$-0.70,0.0
2017-09-30,4.33,$-0.43,0.0
2017-06-30,1.62,$-0.50,0.0
2017-03-31,1.85,$-0.66,0.0
2016-12-31,1.55,$-0.69,0.0
2016-09-30,7.35,$-1.12,0.0
2016-06-30,5.32,$-1.18,0.0
2016-03-31,4.82,$-1.05,0.0
2015-12-31,6.15,$-1.09,0.0
2015-09-30,5.74,$-1.18,0.0
2015-06-30,7.15,$-1.22,0.0
2015-03-31,6.77,$-1.19,0.0
2014-12-31,7.38,$-1.05,0.0
2014-09-30,14.77,$-0.79,0.0
2014-06-30,14.31,$-0.77,0.0
2014-03-31,16.42,$-0.65,0.0
2013-12-31,10.85,$-0.73,0.0
2013-09-30,5.69,$-0.80,0.0
2013-06-30,2.0,$-0.93,0.0
2013-03-31,2.18,$-1.22,0.0
2012-12-31,2.14,$-1.39,0.0
2012-09-30,2.62,$-1.40,0.0
2012-06-30,3.84,$-1.22,0.0
2012-03-31,6.38,$-1.10,0.0
2011-12-31,4.19,$-1.22,0.0
2011-09-30,3.9,$-1.07,0.0
2011-06-30,5.1,$-1.13,0.0
2011-03-31,7.5,$-1.04,0.0
2010-12-31,8.95,$-0.63,0.0
2010-09-30,10.5,$-0.79,0.0
2010-06-30,11.0,$-0.91,0.0
2010-03-31,11.4,$-1.10,0.0
2009-12-31,5.3,$-3.61,0.0
