Hillman Solutions Price to Free Cash Flow Ratio Historical Data,Hillman Solutions Price to Free Cash Flow Ratio Historical Data,Hillman Solutions Price to Free Cash Flow Ratio Historical Data,Hillman Solutions Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,11.08,,16.56
2024-06-30,8.85,$0.67,13.23
2024-03-31,10.64,$0.78,13.56
2023-12-31,9.21,$0.88,10.41
2023-09-30,8.25,$0.78,10.64
2023-06-30,9.01,$0.73,12.42
2023-03-31,8.42,$0.41,20.73
2022-12-31,7.21,$0.25,28.34
2022-09-30,7.54,$-0.27,0.0
2022-06-30,8.64,$-0.37,0.0
2022-03-31,11.88,$-0.69,0.0
2021-12-31,10.75,$-1.20,0.0
2021-09-30,11.93,$-0.84,0.0
