Fifth Third Bancorp Price to Free Cash Flow Ratio Historical Data,Fifth Third Bancorp Price to Free Cash Flow Ratio Historical Data,Fifth Third Bancorp Price to Free Cash Flow Ratio Historical Data,Fifth Third Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,42.69,,8.53
2024-06-30,36.49,$5.01,7.29
2024-03-31,36.86,$4.66,7.91
2023-12-31,33.84,$5.94,5.69
2023-09-30,24.61,$5.88,4.19
2023-06-30,25.11,$7.34,3.42
2023-03-31,25.2,$8.07,3.12
2022-12-31,30.66,$8.57,3.58
2022-09-30,29.57,$7.58,3.9
2022-06-30,30.77,$6.99,4.4
2022-03-31,39.07,$6.29,6.21
2021-12-31,39.26,$3.43,11.44
2021-09-30,38.0,$-0.68,0.0
2021-06-30,34.0,$-2.47,0.0
2021-03-31,33.07,$-1.02,0.0
2020-12-31,24.17,$0.06,378.3
2020-09-30,18.28,$4.28,4.27
2020-06-30,16.53,$3.84,4.31
2020-03-31,12.55,$2.04,6.16
2019-12-31,25.54,$2.24,11.42
2019-09-30,22.57,$1.69,13.39
2019-06-30,22.8,$3.22,7.07
2019-03-31,20.43,$4.43,4.61
2018-12-31,18.9,$4.05,4.66
2018-09-30,22.22,$2.99,7.42
2018-06-30,22.69,$2.82,8.05
2018-03-31,24.95,$1.44,17.27
2017-12-31,23.72,$1.74,13.63
2017-09-30,21.76,$2.62,8.31
2017-06-30,20.07,$2.39,8.4
2017-03-31,19.53,$2.65,7.36
2016-12-31,20.62,$2.43,8.47
2016-09-30,15.57,$2.32,6.72
2016-06-30,13.3,$2.37,5.61
2016-03-31,12.52,$0.98,12.71
2015-12-31,14.96,$1.11,13.5
2015-09-30,13.99,$0.67,20.95
2015-06-30,15.29,$0.75,20.32
2014-12-31,14.77,$2.16,6.85
2014-09-30,14.42,$5.70,2.53
2014-06-30,15.28,$5.69,2.69
2014-03-31,16.33,$6.25,2.61
2013-12-31,14.89,$7.32,2.03
2015-03-31,13.76,$4.48,3.07
2013-09-30,12.7,$3.60,3.53
2013-06-30,12.62,$2.91,4.34
2013-03-31,11.33,$1.58,7.19
2012-12-31,10.49,$2.20,4.76
2012-09-30,10.63,$2.09,5.08
2012-06-30,9.12,$1.20,7.63
2012-03-31,9.5,$2.01,4.73
2011-12-31,8.56,$2.13,4.02
2011-09-30,6.75,$3.72,1.81
2011-06-30,8.46,$5.28,1.6
2011-03-31,9.17,$4.74,1.94
2010-12-31,9.65,$3.84,2.51
2010-09-30,7.9,$4.71,1.68
2010-06-30,8.07,$5.63,1.43
2010-03-31,8.89,$6.25,1.42
2009-12-31,6.39,$4.91,1.3
