Danaos Price to Free Cash Flow Ratio Historical Data,Danaos Price to Free Cash Flow Ratio Historical Data,Danaos Price to Free Cash Flow Ratio Historical Data,Danaos Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,83.12,,46.52
2024-06-30,91.48,$1.79,51.19
2024-03-31,70.89,$11.03,6.43
2023-12-31,71.93,$15.68,4.59
2023-09-30,63.58,$22.91,2.78
2023-06-30,63.42,$28.33,2.24
2023-03-31,51.21,$42.06,1.22
2022-12-31,48.77,$42.18,1.16
2022-09-30,50.88,$54.04,0.94
2022-06-30,57.08,$38.06,1.5
2022-03-31,91.95,$22.85,4.02
2021-12-31,66.41,$20.80,3.19
2021-09-30,72.36,$2.33,31.11
2021-06-30,67.37,$12.53,5.38
2021-03-31,43.17,$7.70,5.6
2020-12-31,18.65,$3.99,4.67
2020-09-30,6.39,$6.33,1.01
2020-06-30,3.25,$7.20,0.45
2020-03-31,3.48,$9.82,0.35
2019-12-31,7.99,$13.05,0.61
2019-09-30,7.83,$15.98,0.49
2019-06-30,7.04,$14.95,0.47
2019-03-31,10.78,$14.55,0.74
2018-12-31,9.14,$15.24,0.6
2018-09-30,14.62,$14.87,0.98
2018-06-30,23.15,$18.24,1.27
2018-03-31,15.23,$21.51,0.71
2017-12-31,17.66,$22.52,0.78
2017-09-30,17.05,$21.51,0.79
2017-06-30,20.71,$27.17,0.76
2017-03-31,21.32,$30.51,0.7
2016-12-31,32.28,$33.49,0.96
2016-09-30,32.65,$37.79,0.86
2016-06-30,33.14,$36.29,0.91
2016-03-31,46.29,$35.50,1.3
2015-12-31,72.97,$34.65,2.11
2015-09-30,74.19,$27.16,2.73
2015-06-30,78.57,$24.80,3.17
2015-03-31,79.31,$27.42,2.89
2014-12-31,66.64,$26.00,2.56
2014-09-30,62.62,$28.69,2.18
2014-06-30,71.63,$27.82,2.58
2014-03-31,91.37,$22.85,4.0
2013-12-31,59.69,$24.92,2.4
2013-09-30,48.36,$25.55,1.89
2013-06-30,53.11,$19.28,2.76
2013-03-31,51.16,$-2.64,0.0
2012-12-31,33.5,$-25.97,0.0
2012-09-30,38.86,$-51.56,0.0
2012-06-30,50.56,$-68.21,0.0
2012-03-31,48.0,$-72.59,0.0
2011-12-31,40.81,$-75.15,0.0
2011-09-30,40.44,$-81.09,0.0
2011-06-30,67.0,$-70.30,0.0
2011-03-31,82.59,$-97.22,0.0
2010-12-31,45.56,$-94.49,0.0
2010-09-30,53.97,$-77.53,0.0
2010-06-30,46.41,$-96.23,0.0
2010-03-31,51.41,$-60.12,0.0
2009-12-31,54.33,$-71.82,0.0
