Golar LNG Price to Free Cash Flow Ratio Historical Data,Golar LNG Price to Free Cash Flow Ratio Historical Data,Golar LNG Price to Free Cash Flow Ratio Historical Data,Golar LNG Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,38.29,,0.0
2024-03-31,23.67,$-0.47,0.0
2023-12-31,22.35,0,0.0
2023-03-31,20.3,$0.31,64.97
2022-06-30,21.38,0,0.0
2022-03-31,23.28,$-0.37,0.0
2021-12-31,11.64,0,0.0
2021-09-30,12.19,$0.35,35.04
2021-06-30,12.45,$0.35,35.8
2021-03-31,9.61,$1.39,6.92
2020-12-31,9.06,$0.35,26.04
2020-09-30,5.69,0,0.0
2020-06-30,6.8,0,0.0
2020-03-31,7.4,$-1.04,0.0
2019-12-31,13.36,0,0.0
2019-09-30,12.21,0,0.0
2019-06-30,17.36,0,0.0
2019-03-31,19.64,0,0.0
2018-12-31,20.12,0,0.0
2018-09-30,25.55,0,0.0
2018-06-30,26.95,0,0.0
2018-03-31,24.98,0,0.0
2017-12-31,27.17,0,0.0
2017-09-30,20.57,0,0.0
2017-06-30,20.19,0,0.0
2016-09-30,19.12,0,0.0
2016-06-30,13.95,0,0.0
2016-03-31,16.12,0,0.0
2015-12-31,14.13,0,0.0
2015-09-30,24.32,$16.57,1.47
2015-06-30,40.36,0,0.0
2015-03-31,28.43,$6.79,4.18
2016-12-31,20.73,0,0.0
2014-12-31,30.73,$-16.57,0.0
2014-09-30,55.36,0,0.0
2014-06-30,49.75,$-6.79,0.0
2014-03-31,34.18,0,0.0
2013-12-31,29.42,0,0.0
2013-09-30,30.15,0,0.0
2013-06-30,25.23,0,0.0
2013-03-31,28.87,0,0.0
2012-12-31,28.7,0,0.0
2012-09-30,29.45,$2.11,13.96
2012-06-30,28.47,0,0.0
2012-03-31,28.44,$-0.14,0.0
2011-12-31,32.96,0,0.0
2011-09-30,23.4,$-1.85,0.0
2011-06-30,25.47,$0.26,96.39
2011-03-31,18.52,$0.04,491.22
2010-12-31,10.69,$-0.09,0.0
2017-03-31,25.29,$-0.63,0.0
2010-09-30,8.76,$-0.67,0.0
2010-06-30,6.71,$-0.90,0.0
2010-03-31,7.91,$-1.18,0.0
2009-12-31,8.35,$-1.05,0.0
