Logitech S.A Price to Free Cash Flow Ratio Historical Data,Logitech S.A Price to Free Cash Flow Ratio Historical Data,Logitech S.A Price to Free Cash Flow Ratio Historical Data,Logitech S.A Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,87.6,,13.41
2024-06-30,95.58,$6.53,14.63
2024-03-31,88.17,$6.89,12.8
2023-12-31,93.78,$6.64,14.13
2023-09-30,68.02,$5.44,12.5
2023-06-30,57.63,$4.43,13.02
2023-03-31,56.33,$2.70,20.88
2022-12-31,60.4,$1.96,30.84
2022-09-30,44.63,$2.49,17.91
2022-06-30,49.43,$1.71,28.97
2022-03-31,70.06,$1.23,57.08
2021-12-31,78.32,$3.73,20.99
2021-09-30,83.7,$4.57,18.31
2021-06-30,113.77,$6.61,17.21
2021-03-31,98.32,$8.05,12.22
2020-12-31,91.45,$5.65,16.19
2020-09-30,72.74,$3.71,19.63
2020-06-30,60.68,$2.75,22.09
2020-03-31,39.94,$2.28,17.5
2019-12-31,43.88,$1.89,23.22
2019-09-30,37.91,$1.87,20.31
2019-06-30,36.35,$1.73,20.97
2019-03-31,35.97,$1.59,22.57
2018-12-31,28.6,$1.91,14.94
2018-09-30,40.89,$1.98,20.63
2018-06-30,39.56,$1.90,20.82
2018-03-31,33.1,$1.81,18.25
2017-12-31,30.32,$1.59,19.05
2017-09-30,32.86,$1.38,23.78
2017-06-30,32.47,$1.43,22.69
2017-03-31,28.23,$1.55,18.21
2016-12-31,21.94,$1.46,14.98
2016-09-30,19.89,$1.51,13.2
2016-06-30,14.05,$1.06,13.23
2016-03-31,13.73,$0.76,17.99
2015-12-31,13.0,$0.79,16.37
2015-09-30,11.31,$0.31,36.73
2015-06-30,12.18,$0.46,26.67
2015-03-31,10.93,$0.80,13.64
2014-12-31,11.16,$1.13,9.87
2014-09-30,10.46,$1.25,8.37
2014-06-30,10.63,$1.17,9.09
2014-03-31,12.14,$0.98,12.4
2013-12-31,11.16,$0.36,30.95
2013-09-30,7.22,$0.52,13.83
2013-06-30,5.6,$0.52,10.83
2013-03-31,5.53,$0.44,12.54
2012-12-31,5.99,$0.73,8.17
2012-09-30,7.24,$0.87,8.34
2012-06-30,7.77,$0.77,10.12
2012-03-31,5.68,$0.92,6.15
2011-12-31,5.66,$0.69,8.23
2011-09-30,5.69,$0.66,8.56
2011-06-30,8.18,$0.65,12.57
2011-03-31,13.2,$0.64,20.5
2010-12-31,13.5,$0.99,13.65
2010-09-30,12.69,$1.09,11.61
2010-06-30,9.76,$1.43,6.81
2010-03-31,11.9,$1.83,6.51
2009-12-31,12.46,$2.38,5.23
