First American Financial Price to Free Cash Flow Ratio Historical Data,First American Financial Price to Free Cash Flow Ratio Historical Data,First American Financial Price to Free Cash Flow Ratio Historical Data,First American Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,67.21,,24.94
2024-06-30,53.51,$2.70,19.85
2024-03-31,59.94,$2.52,23.78
2023-12-31,62.68,$0.87,72.05
2023-09-30,54.48,$3.41,16.0
2023-06-30,54.52,$4.21,12.95
2023-03-31,52.74,$3.45,15.29
2022-12-31,49.12,$4.89,10.05
2022-09-30,42.83,$6.00,7.14
2022-06-30,48.68,$6.91,7.04
2022-03-31,59.13,$7.87,7.52
2021-12-31,70.8,$9.67,7.32
2021-09-30,60.28,$10.35,5.82
2021-06-30,55.64,$9.63,5.77
2021-03-31,50.19,$10.40,4.83
2020-12-31,45.34,$8.72,5.2
2020-09-30,44.28,$7.75,5.71
2020-06-30,41.42,$7.80,5.31
2020-03-31,36.27,$7.11,5.1
2019-12-31,49.56,$7.10,6.98
2019-09-30,49.81,$7.15,6.96
2019-06-30,45.01,$6.39,7.04
2019-03-31,42.82,$5.85,7.32
2018-12-31,36.81,$5.98,6.15
2018-09-30,42.15,$4.82,8.75
2018-06-30,41.95,$4.73,8.86
2018-03-31,47.25,$4.92,9.6
2017-12-31,44.83,$4.52,9.92
2017-09-30,39.7,$5.10,7.79
2017-06-30,35.22,$4.00,8.81
2017-03-31,30.72,$3.78,8.12
2016-12-31,28.39,$3.30,8.61
2016-09-30,30.16,$2.95,10.24
2016-06-30,30.64,$3.79,8.08
2016-03-31,28.84,$4.21,6.85
2015-12-31,26.98,$4.05,6.66
2015-09-30,29.17,$4.01,7.28
2015-06-30,27.6,$3.60,7.67
2015-03-31,26.28,$2.84,9.26
2014-12-31,24.79,$2.53,9.78
2014-09-30,19.69,$2.02,9.77
2014-06-30,20.0,$1.64,12.21
2014-03-31,18.95,$2.15,8.81
2013-12-31,20.03,$2.72,7.36
2013-09-30,17.22,$3.15,5.47
2013-06-30,15.5,$3.74,4.14
2013-03-31,17.89,$2.90,6.16
2012-12-31,16.77,$3.26,5.15
2012-09-30,15.01,$2.61,5.74
2012-06-30,11.71,$1.87,6.26
2012-03-31,11.42,$1.09,10.52
2011-12-31,8.66,$0.71,12.15
2011-09-30,8.71,$0.83,10.51
2011-06-30,10.6,$0.82,12.91
2011-03-31,11.13,$0.12,94.65
