APA Price to Free Cash Flow Ratio Historical Data,APA Price to Free Cash Flow Ratio Historical Data,APA Price to Free Cash Flow Ratio Historical Data,APA Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,28.49,,7.77
2024-06-30,29.44,$3.67,8.03
2024-03-31,34.38,$2.75,12.51
2023-12-31,35.88,$2.58,13.93
2023-09-30,41.1,$1.19,34.41
2023-06-30,34.17,$3.13,10.92
2023-03-31,36.06,$5.11,7.06
2022-12-31,46.68,$9.42,4.96
2022-09-30,34.19,$10.90,3.14
2022-06-30,34.77,$10.09,3.45
2022-03-31,41.05,$8.95,4.59
2021-12-31,26.6,$6.36,4.18
2021-09-30,21.15,$5.41,3.91
2021-06-30,21.32,$4.03,5.29
2021-03-31,17.62,$-0.25,0.0
2020-12-31,13.95,$-0.58,0.0
2020-09-30,9.28,$-0.31,0.0
2020-06-30,13.21,$0.27,48.3
2019-12-31,24.77,$1.66,14.97
2019-09-30,24.51,$0.65,37.71
2019-06-30,27.45,$0.12,226.14
2019-03-31,32.62,$-0.39,0.0
2018-12-31,24.51,$0.56,44.17
2020-03-31,4.08,$0.12,32.86
2018-09-30,44.25,$-0.34,0.0
2018-06-30,43.16,$-0.50,0.0
2018-03-31,35.31,$-0.51,0.0
2017-12-31,38.53,$1.11,34.64
2017-09-30,41.55,$2.35,17.67
2017-06-30,43.26,$2.87,15.08
2017-03-31,46.15,$3.45,13.39
2016-12-31,56.77,$1.62,34.99
2016-09-30,56.91,$-0.96,0.0
2016-06-30,49.38,$-2.07,0.0
2016-03-31,43.1,$-2.82,0.0
2015-12-31,38.98,$-4.96,0.0
2015-09-30,34.14,$-11.48,0.0
2015-06-30,49.99,$-13.54,0.0
2015-03-31,52.15,$-8.56,0.0
2014-12-31,53.94,$-6.61,0.0
2014-09-30,80.52,$4.89,16.46
2014-06-30,86.1,$5.85,14.71
2014-03-31,70.77,$0.75,93.93
2013-12-31,73.15,$1.44,50.68
2013-09-30,72.31,$-3.03,0.0
2013-06-30,71.02,$-4.32,0.0
2013-03-31,65.19,$-2.84,0.0
2012-12-31,66.18,$-2.39,0.0
2012-09-30,72.76,$1.55,46.97
2012-06-30,73.81,$6.06,12.17
2012-03-31,84.2,$7.63,11.04
2011-12-31,75.82,$8.24,9.2
2011-09-30,67.05,$6.48,10.34
2011-06-30,102.98,$6.07,16.97
2011-03-31,109.13,$5.50,19.84
2010-12-31,99.27,$5.03,19.75
2010-09-30,81.28,$6.52,12.47
2010-06-30,69.88,$7.16,9.76
2010-03-31,84.13,$3.55,23.72
2009-12-31,85.39,$1.77,48.22
