Black Hills Price to Free Cash Flow Ratio Historical Data,Black Hills Price to Free Cash Flow Ratio Historical Data,Black Hills Price to Free Cash Flow Ratio Historical Data,Black Hills Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,61.85,,25.68
2024-06-30,53.77,$2.41,22.33
2024-03-31,53.38,$3.46,15.42
2023-12-31,52.1,$5.79,8.99
2023-09-30,48.26,$4.23,11.41
2023-06-30,56.85,$2.56,22.19
2023-03-31,58.95,$0.90,65.36
2022-12-31,65.07,$-0.30,0.0
2022-09-30,62.08,$-1.16,0.0
2022-06-30,66.2,$-0.39,0.0
2022-03-31,69.52,$-1.26,0.0
2021-12-31,63.13,$-11.72,0.0
2021-09-30,55.63,$-11.88,0.0
2021-06-30,57.72,$-12.04,0.0
2021-03-31,58.23,$-12.43,0.0
2020-12-31,53.1,$-3.61,0.0
2020-09-30,45.83,$-3.63,0.0
2020-06-30,48.1,$-5.31,0.0
2020-03-31,53.84,$-5.35,0.0
2019-12-31,65.63,$-5.15,0.0
2019-09-30,63.66,$-4.65,0.0
2019-06-30,64.44,$-2.72,0.0
2019-03-31,60.65,$-0.75,0.0
2018-12-31,51.04,$0.56,90.51
2018-09-30,46.85,$2.24,20.95
2018-06-30,48.99,$2.72,18.02
2018-03-31,43.09,$2.24,19.25
2017-12-31,47.27,$1.86,25.48
2017-09-30,53.73,$1.25,42.85
2017-06-30,52.3,$-0.26,0.0
2017-03-31,51.2,$-2.01,0.0
2016-12-31,46.91,$-2.52,0.0
2016-09-30,46.48,$0.80,58.32
2016-06-30,47.52,$2.11,22.56
2016-03-31,45.01,$3.68,12.24
2015-12-31,34.48,$3.49,9.88
2015-09-30,30.42,$-0.85,0.0
2015-06-30,31.81,$-0.71,0.0
2015-03-31,36.45,$-1.43,0.0
2014-12-31,38.01,$-1.87,0.0
2014-09-30,34.07,$-1.60,0.0
2014-06-30,43.36,$-1.89,0.0
2014-03-31,40.43,$-1.38,0.0
2013-12-31,36.57,$-0.68,0.0
2013-09-30,34.47,$-0.97,0.0
2013-06-30,33.45,$5.52,6.06
2013-03-31,29.99,$5.40,5.55
2012-12-31,24.52,$5.03,4.88
2012-09-30,23.74,$3.93,6.05
2012-06-30,21.22,$-3.72,0.0
2012-03-31,21.87,$-4.49,0.0
2011-12-31,21.67,$-5.40,0.0
2011-09-30,19.55,$-6.29,0.0
2011-06-30,18.97,$-7.06,0.0
2011-03-31,20.83,$-7.17,0.0
2010-12-31,18.47,$-6.56,0.0
2010-09-30,18.98,$-5.96,0.0
2010-06-30,17.12,$-4.64,0.0
2010-03-31,18.03,$-4.12,0.0
2009-12-31,15.61,$0.22,70.91
