IQIYI Price to Free Cash Flow Ratio Historical Data,IQIYI Price to Free Cash Flow Ratio Historical Data,IQIYI Price to Free Cash Flow Ratio Historical Data,IQIYI Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,2.36,,4.93
2024-06-30,3.67,$0.48,7.66
2024-03-31,4.23,$0.46,9.15
2023-12-31,4.88,$0.48,10.19
2023-09-30,4.74,$0.13,35.16
2023-06-30,5.34,$-0.04,0.0
2023-03-31,7.28,$0.33,21.76
2022-12-31,5.3,$-0.04,0.0
2022-09-30,2.71,$-1.00,0.0
2022-06-30,4.2,$-0.95,0.0
2022-03-31,4.54,$-1.19,0.0
2021-12-31,4.56,$-1.23,0.0
2021-09-30,8.03,$-0.76,0.0
2021-06-30,15.58,$-1.45,0.0
2021-03-31,16.62,$-1.44,0.0
2020-12-31,17.48,$-1.17,0.0
2020-09-30,22.58,$-0.19,0.0
2020-06-30,23.19,$0.62,37.19
2020-03-31,17.8,$0.62,28.54
2019-12-31,21.11,$0.62,33.85
2019-09-30,16.13,$0.21,76.52
2019-06-30,20.65,$0.60,34.53
2019-03-31,23.92,$0.60,39.99
2018-12-31,14.87,$0.60,24.86
