Two Harbors Investments Corp Price to Free Cash Flow Ratio Historical Data,Two Harbors Investments Corp Price to Free Cash Flow Ratio Historical Data,Two Harbors Investments Corp Price to Free Cash Flow Ratio Historical Data,Two Harbors Investments Corp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,13.06,,3.4
2024-06-30,12.33,$3.84,3.21
2024-03-31,11.93,$3.51,3.4
2023-12-31,12.14,$3.59,3.38
2023-09-30,11.14,$4.67,2.38
2023-06-30,11.29,$7.33,1.54
2023-03-31,11.47,$7.02,1.63
2022-12-31,11.85,$6.49,1.83
2022-09-30,9.98,$5.33,1.87
2022-06-30,13.76,$3.70,3.72
2022-03-31,14.81,$5.96,2.48
2021-12-31,15.45,$5.68,2.72
2021-09-30,16.5,$8.43,1.96
2021-06-30,19.17,$9.20,2.08
2021-03-31,18.18,$6.95,2.61
2020-12-31,15.44,$9.23,1.67
2020-09-30,12.01,$9.27,1.3
2020-06-30,11.57,$10.28,1.13
2020-03-31,8.42,$14.62,0.58
2019-12-31,32.3,$15.78,2.05
2019-09-30,28.24,$16.05,1.76
2019-06-30,26.45,$13.94,1.9
2019-03-31,27.38,$12.06,2.27
2018-12-31,25.11,$13.65,1.84
2018-09-30,28.18,$13.33,2.11
2018-06-30,29.52,$14.01,2.11
2018-03-31,27.89,$13.39,2.08
2017-12-31,28.63,$12.90,2.22
2017-09-30,34.51,$40.25,0.86
2017-06-30,33.07,$17.14,1.93
2017-03-31,31.19,$14.12,2.21
2016-12-31,27.64,$5.51,5.02
2016-09-30,26.31,$-26.27,0.0
2016-06-30,25.72,$-24.80,0.0
2016-03-31,23.22,$-36.10,0.0
2015-12-31,23.01,$-42.42,0.0
2015-09-30,24.29,$-50.21,0.0
2015-06-30,26.06,$-44.41,0.0
2015-03-31,27.69,$-36.25,0.0
2014-12-31,25.5,$-14.58,0.0
2014-09-30,23.99,$-5.74,0.0
2014-06-30,25.33,$11.47,2.21
2014-03-31,24.18,$0.59,40.64
2013-12-31,21.34,$-10.39,0.0
2013-09-30,21.72,$-4.86,0.0
2013-06-30,22.27,$-12.77,0.0
2013-03-31,26.6,$2.90,9.17
2012-12-31,22.79,$5.35,4.26
2012-09-30,23.11,$6.02,3.84
2012-06-30,19.8,$10.99,1.8
2012-03-31,18.71,$11.90,1.57
2011-12-31,16.45,$12.28,1.34
2011-09-30,15.12,$10.24,1.48
2011-06-30,17.66,$11.63,1.52
2011-03-31,16.62,$10.44,1.59
2010-12-31,14.5,$11.84,1.23
2010-09-30,12.86,$3.05,4.21
