Target Price to Free Cash Flow Ratio Historical Data,Target Price to Free Cash Flow Ratio Historical Data,Target Price to Free Cash Flow Ratio Historical Data,Target Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,153.62,,15.44
2024-04-30,158.76,$9.95,15.96
2024-01-31,136.16,$8.30,16.41
2023-10-31,107.4,$7.95,13.51
2023-07-31,131.14,$3.55,36.89
2023-04-30,150.55,$1.05,143.61
2023-01-31,163.25,$-3.23,0.0
2022-10-31,154.84,$-4.19,0.0
2022-07-31,153.1,$0.61,249.59
2022-04-30,213.37,$4.14,51.5
2022-01-31,204.81,$10.37,19.76
2021-10-31,240.41,$12.06,19.93
2021-07-31,240.88,$12.53,19.23
2021-04-30,190.62,$15.81,12.05
2021-01-31,166.03,$15.67,10.6
2020-10-31,138.92,$14.60,9.51
2020-07-31,114.32,$12.65,9.04
2020-04-30,99.13,$9.75,10.17
2020-01-31,99.47,$8.05,12.35
2019-10-31,95.46,$6.75,14.15
2019-07-31,76.56,$5.89,13.0
2019-04-30,67.99,$4.71,14.44
2019-01-31,63.55,$4.77,13.33
2018-10-31,72.14,$5.03,14.34
2018-07-31,69.06,$6.54,10.56
2018-04-30,61.62,$5.99,10.29
2018-01-31,63.31,$8.06,7.86
2017-10-31,49.18,$8.29,5.93
2017-07-31,46.69,$8.54,5.47
2017-04-30,45.52,$1.08,42.08
2017-01-31,52.07,$2.43,21.46
2016-10-31,55.05,$-0.39,0.0
2016-07-31,59.86,$-0.56,0.0
2016-01-31,56.66,$7.19,7.89
2015-10-31,59.92,$8.73,6.86
2015-07-31,63.1,$7.71,8.18
2015-04-30,60.37,$6.44,9.38
2015-01-31,55.99,$5.46,10.26
2016-04-30,62.7,$1.15,54.57
2014-10-31,46.66,$5.42,8.61
2014-07-31,44.58,$4.90,9.1
2014-04-30,45.86,$3.80,12.07
2014-01-31,41.75,$7.33,5.7
2013-10-31,47.45,$6.13,7.74
2013-07-31,51.85,$6.74,7.69
2013-04-30,51.08,$7.49,6.82
2013-01-31,43.48,$4.59,9.47
2012-10-31,45.62,$4.32,10.55
2012-07-31,43.16,$3.01,14.34
2012-04-30,41.0,$1.72,23.82
2012-01-31,35.75,$1.61,22.17
2011-10-31,38.31,$1.49,25.65
2011-07-31,35.81,$3.16,11.32
2011-04-30,33.98,$3.98,8.53
2011-01-31,37.77,$4.40,8.58
2010-10-31,35.62,$5.19,6.87
2010-07-31,35.02,$5.35,6.54
2010-04-30,38.69,$5.38,7.2
2010-01-31,34.76,$4.93,7.06
2009-10-31,32.72,$2.13,15.34
