WAVE Life Sciences Price to Free Cash Flow Ratio Historical Data,WAVE Life Sciences Price to Free Cash Flow Ratio Historical Data,WAVE Life Sciences Price to Free Cash Flow Ratio Historical Data,WAVE Life Sciences Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,14.61,,0.0
2024-06-30,4.99,$-1.12,0.0
2024-03-31,6.17,$-1.29,0.0
2023-12-31,5.05,$-0.19,0.0
2023-09-30,5.75,$-0.50,0.0
2023-06-30,3.64,$-0.14,0.0
2023-03-31,4.33,$-0.14,0.0
2022-12-31,7.0,$-1.64,0.0
2022-09-30,3.61,$-1.12,0.0
2022-06-30,3.25,$-1.69,0.0
2022-03-31,2.0,$-1.48,0.0
2021-12-31,3.14,$-1.73,0.0
2021-09-30,4.9,$-2.39,0.0
2021-06-30,6.66,$-2.23,0.0
2021-03-31,5.61,$-3.12,0.0
2020-12-31,7.87,$-2.99,0.0
2020-09-30,8.49,$-4.12,0.0
2020-06-30,10.41,$-5.03,0.0
2020-03-31,9.37,$-4.89,0.0
2019-12-31,8.02,$-5.67,0.0
2019-09-30,20.53,$-5.03,0.0
2019-06-30,26.09,$-4.86,0.0
2019-03-31,38.85,$-1.49,0.0
2018-12-31,42.04,$-1.13,0.0
2018-09-30,50.0,$-1.02,0.0
2018-06-30,38.25,$-0.90,0.0
2018-03-31,40.1,$-4.18,0.0
2017-12-31,35.1,$-3.87,0.0
2017-09-30,21.75,$-3.46,0.0
2017-06-30,18.6,$-3.01,0.0
2017-03-31,27.5,$-2.18,0.0
2016-12-31,26.15,$-1.64,0.0
2016-09-30,32.47,$-2.28,0.0
