Bel Fuse Price to Free Cash Flow Ratio Historical Data,Bel Fuse Price to Free Cash Flow Ratio Historical Data,Bel Fuse Price to Free Cash Flow Ratio Historical Data,Bel Fuse Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,84.66,,11.02
2024-06-30,65.12,$7.68,8.47
2024-03-31,60.13,$7.25,8.3
2023-12-31,66.49,$8.00,8.31
2023-09-30,47.45,$7.07,6.72
2023-06-30,57.02,$5.08,11.23
2023-03-31,37.25,$4.45,8.37
2022-12-31,32.57,$2.65,12.28
2022-09-30,24.91,$1.72,14.48
2022-06-30,15.29,$0.63,24.26
2022-03-31,17.46,$-1.16,0.0
2021-12-31,12.59,$0.21,60.86
2021-09-30,12.03,$1.28,9.43
2021-06-30,13.86,$2.68,5.17
2021-03-31,19.08,$3.70,5.16
2020-12-31,14.36,$3.62,3.97
2020-09-30,10.14,$2.77,3.66
2020-06-30,10.11,$2.12,4.78
2020-03-31,9.1,$2.87,3.17
2019-12-31,19.09,$1.66,11.52
2019-09-30,13.93,$1.60,8.71
2019-06-30,15.85,$0.93,17.01
2019-03-31,23.26,$-0.67,0.0
2018-12-31,16.89,$-0.12,0.0
2018-09-30,24.22,$0.23,103.23
2018-06-30,19.04,$1.31,14.49
2018-03-31,17.15,$1.47,11.7
2017-12-31,22.78,$1.48,15.43
2017-09-30,28.18,$1.95,14.44
2017-06-30,22.25,$1.76,12.65
2017-03-31,22.94,$2.29,10.03
2016-12-31,27.69,$3.04,9.11
2016-09-30,21.57,$3.60,5.98
2016-06-30,15.83,$4.26,3.72
2016-03-31,12.94,$4.19,3.09
2015-12-31,15.25,$4.71,3.23
2015-09-30,17.09,$3.05,5.6
2015-06-30,17.98,$1.83,9.85
2015-03-31,16.61,$2.24,7.42
2014-12-31,23.8,$1.16,20.6
2014-09-30,21.47,$1.41,15.21
2014-06-30,22.21,$1.78,12.45
2014-03-31,18.89,$0.33,57.65
2013-12-31,18.32,$0.33,55.96
2013-09-30,14.94,$0.30,49.08
2013-06-30,11.46,$0.16,70.31
2013-03-31,13.24,$-1.70,0.0
2012-12-31,16.52,$-1.05,0.0
2012-09-30,15.72,$-0.94,0.0
2012-06-30,14.77,$-0.98,0.0
2011-12-31,15.6,$2.36,6.62
2011-09-30,12.92,$2.34,5.52
2011-06-30,17.92,$2.23,8.03
2011-03-31,18.12,$1.57,11.56
2010-12-31,19.62,$0.50,39.39
2010-09-30,17.03,$-0.51,0.0
2010-06-30,13.46,$0.21,63.12
2010-03-31,16.37,$0.76,21.43
2009-12-31,17.41,$2.55,6.82
2009-09-30,15.36,$2.98,5.15
