Peabody Energy Price to Free Cash Flow Ratio Historical Data,Peabody Energy Price to Free Cash Flow Ratio Historical Data,Peabody Energy Price to Free Cash Flow Ratio Historical Data,Peabody Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,25.3,,59.28
2024-06-30,22.04,$0.43,51.65
2024-03-31,24.1,$2.93,8.22
2023-12-31,24.08,$4.62,5.21
2023-09-30,25.65,$7.50,3.42
2023-06-30,21.31,$10.47,2.04
2023-03-31,25.11,$10.61,2.37
2022-12-31,25.91,$6.30,4.11
2022-09-30,24.34,$6.10,3.99
2022-06-30,20.92,$3.24,6.46
2022-03-31,24.06,$-0.01,0.0
2021-12-31,9.88,$2.34,4.22
2021-09-30,14.51,$-1.33,0.0
2021-06-30,7.78,$-1.55,0.0
2021-03-31,3.0,$-1.37,0.0
2020-12-31,2.36,$-1.84,0.0
2020-09-30,2.26,$-1.43,0.0
2020-06-30,2.82,$0.03,82.59
2020-03-31,2.84,$2.16,1.32
2019-12-31,8.94,$4.07,2.2
2019-09-30,14.27,$4.84,2.95
2019-06-30,23.19,$6.37,3.64
2019-03-31,27.12,$7.76,3.5
2018-12-31,27.31,$10.46,2.61
2018-09-30,31.81,$14.09,2.26
2018-06-30,40.48,$13.76,2.94
2018-03-31,32.4,$3.05,10.61
