Kulicke And Soffa Industries Price to Free Cash Flow Ratio Historical Data,Kulicke And Soffa Industries Price to Free Cash Flow Ratio Historical Data,Kulicke And Soffa Industries Price to Free Cash Flow Ratio Historical Data,Kulicke And Soffa Industries Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,45.18,,48.39
2024-06-30,48.96,$0.93,52.44
2024-03-31,49.86,$0.48,104.23
2023-12-31,54.02,$0.81,66.55
2023-09-30,47.83,$2.25,21.24
2023-06-30,58.23,$2.67,21.77
2023-03-31,51.44,$4.47,11.5
2022-12-31,43.05,$5.77,7.46
2022-09-30,37.33,$6.00,6.22
2022-06-30,41.3,$6.24,6.62
2022-03-31,53.83,$5.77,9.33
2021-12-31,58.01,$4.98,11.64
2021-09-30,55.67,$4.37,12.74
2021-06-30,58.34,$2.96,19.74
2021-03-31,46.69,$1.99,23.5
2020-12-31,30.15,$1.81,16.67
2020-09-30,21.14,$1.31,16.19
2020-06-30,19.56,$0.57,34.07
2020-03-31,19.48,$0.19,101.16
2019-12-31,25.26,$0.40,62.55
2019-09-30,21.71,$0.83,26.3
2019-06-30,20.74,$1.48,14.0
2019-03-31,20.23,$2.00,10.11
2018-12-31,18.44,$1.61,11.46
2018-09-30,21.56,$1.47,14.65
2018-06-30,21.43,$2.01,10.64
2018-03-31,22.39,$1.82,12.29
2017-12-31,21.79,$1.81,12.02
2017-09-30,19.31,$1.56,12.42
2017-06-30,17.03,$1.11,15.3
2017-03-31,18.19,$1.30,13.95
2016-12-31,14.28,$1.19,12.02
2016-09-30,11.58,$0.89,12.97
2016-06-30,10.9,$0.92,11.88
2016-03-31,10.13,$0.43,23.78
2015-12-31,10.45,$0.18,58.76
2015-09-30,8.22,$0.06,130.45
2015-06-30,10.48,$-0.37,0.0
2015-03-31,13.99,$0.14,97.44
2014-09-30,12.74,$0.94,13.61
2014-06-30,12.77,$1.49,8.58
2014-03-31,11.29,$2.01,5.62
2013-12-31,11.91,$1.62,7.33
2013-09-30,10.34,$1.23,8.44
2014-12-31,12.95,$1.45,8.93
2013-06-30,9.9,$1.66,5.98
2013-03-31,10.35,$2.38,4.35
2012-12-31,10.73,$2.64,4.07
2012-09-30,9.32,$2.33,4.01
2012-06-30,7.99,$2.23,3.58
2012-03-31,11.13,$2.03,5.49
2011-12-31,8.28,$2.75,3.01
2011-09-30,6.68,$2.63,2.54
2011-06-30,9.97,$2.20,4.53
2011-03-31,8.37,$1.91,4.39
2010-12-31,6.45,$1.01,6.38
2010-09-30,5.54,$1.14,4.84
2010-06-30,6.28,$0.83,7.58
2010-03-31,6.49,$0.28,23.22
2009-12-31,4.83,$-0.40,0.0
