Ferrari Price to Free Cash Flow Ratio Historical Data,Ferrari Price to Free Cash Flow Ratio Historical Data,Ferrari Price to Free Cash Flow Ratio Historical Data,Ferrari Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,482.32,,59.25
2024-06-30,408.37,$8.14,50.16
2024-03-31,433.36,$8.44,51.37
2023-12-31,336.43,$7.97,42.19
2023-09-30,293.79,$7.64,38.47
2023-06-30,323.29,$6.75,47.91
2023-03-31,267.43,$5.88,45.5
2022-12-31,211.44,$6.08,34.79
2022-09-30,182.6,$5.84,31.28
2022-06-30,181.1,$6.17,29.35
2022-03-31,213.85,$6.89,31.02
2021-12-31,253.79,$5.99,42.39
2021-09-30,205.05,$6.20,33.09
2021-06-30,202.04,$5.33,37.9
2021-03-31,204.2,$3.41,59.89
2020-12-31,223.95,$2.97,75.38
2020-09-30,179.62,$2.60,69.12
2020-06-30,166.86,$2.83,58.93
2020-03-31,147.72,$4.74,31.15
2019-12-31,160.27,$5.72,28.0
2019-09-30,149.19,$5.63,26.49
2019-06-30,156.29,$5.40,28.97
2019-03-31,128.48,$4.91,26.15
2018-12-31,95.48,$3.96,24.13
2018-09-30,131.46,$3.13,42.02
2018-06-30,129.64,$3.37,38.41
2018-03-31,114.91,$3.24,35.42
2017-12-31,99.96,$2.84,35.14
2017-09-30,105.33,$4.61,22.86
2017-06-30,82.01,$4.54,18.06
2017-03-31,70.9,$4.93,14.38
2016-12-31,55.43,$4.88,11.37
2016-09-30,49.45,$5.76,8.58
