Ziff Davis Price to Free Cash Flow Ratio Historical Data,Ziff Davis Price to Free Cash Flow Ratio Historical Data,Ziff Davis Price to Free Cash Flow Ratio Historical Data,Ziff Davis Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,47.24,,12.29
2024-06-30,55.05,$3.84,14.32
2024-03-31,63.04,$3.76,16.75
2023-12-31,67.19,$4.55,14.78
2023-09-30,63.69,$5.10,12.48
2023-06-30,70.06,$5.39,13.0
2023-03-31,78.05,$6.71,11.63
2022-12-31,79.1,$6.26,12.64
2022-06-30,74.53,$6.02,12.37
2022-03-31,96.78,$6.79,14.24
2021-12-31,110.86,$8.42,13.17
2021-09-30,136.62,$9.13,14.96
2021-06-30,137.55,$9.54,14.42
2021-03-31,119.86,$9.92,12.08
2020-12-31,97.69,$8.24,11.86
2020-09-30,69.22,$7.84,8.83
2020-06-30,63.21,$7.32,8.64
2020-03-31,74.85,$6.40,11.69
2019-12-31,93.71,$6.97,13.44
2019-09-30,90.82,$7.29,12.46
2019-06-30,88.89,$7.13,12.46
2019-03-31,86.15,$4.58,18.8
2018-12-31,68.66,$3.97,17.3
2018-09-30,81.51,$3.16,25.77
2018-06-30,84.76,$2.76,30.71
2017-12-31,72.69,$4.62,15.74
2017-09-30,71.19,$4.77,14.94
2017-06-30,81.56,$4.72,17.28
2017-03-31,80.06,$4.98,16.09
2016-12-31,77.7,$5.37,14.47
2016-09-30,62.97,$5.24,12.02
2016-06-30,59.42,$5.06,11.75
2016-03-31,57.62,$1.12,51.49
2015-12-31,76.68,$3.51,21.85
2015-09-30,65.75,$2.85,23.07
2015-06-30,62.76,$2.77,22.67
2022-09-30,68.48,$6.19,11.06
2015-03-31,60.4,$3.68,16.39
2014-12-31,56.77,$3.52,16.11
2014-09-30,44.96,$3.76,11.95
2014-06-30,46.09,$3.41,13.51
2014-03-31,45.36,$3.69,12.3
2013-12-31,45.32,$3.79,11.97
2013-09-30,44.63,$4.41,10.11
2013-06-30,38.13,$5.84,6.53
2013-03-31,34.96,$5.27,6.64
2012-12-31,27.1,$5.44,4.99
2018-03-31,76.86,$4.50,17.08
2012-09-30,28.85,$3.50,8.25
2012-06-30,23.05,$3.24,7.11
2012-03-31,24.8,$3.10,7.99
2011-12-31,24.16,$3.10,7.79
2011-09-30,22.93,$2.71,8.45
2011-06-30,23.92,$2.72,8.81
2011-03-31,25.0,$2.10,11.89
2010-12-31,24.53,$2.06,11.92
2010-09-30,20.15,$2.06,9.8
2010-06-30,18.5,$2.07,8.92
2010-03-31,19.79,$2.27,8.73
2009-12-31,17.24,$2.18,7.89
