Vista Outdoor Price to Free Cash Flow Ratio Historical Data,Vista Outdoor Price to Free Cash Flow Ratio Historical Data,Vista Outdoor Price to Free Cash Flow Ratio Historical Data,Vista Outdoor Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,44.18,,7.19
2024-06-30,37.65,$6.14,6.13
2024-03-31,32.78,$6.40,5.12
2023-12-31,29.57,$6.83,4.33
2023-09-30,33.12,$6.40,5.18
2023-06-30,27.67,$7.28,3.8
2023-03-31,27.71,$7.91,3.51
2022-12-31,24.37,$6.25,3.9
2022-09-30,24.32,$6.26,3.89
2022-06-30,27.9,$6.06,4.6
2022-03-31,35.69,$4.67,7.65
2021-12-31,46.07,$3.74,12.3
2021-09-30,40.31,$3.62,11.13
2021-06-30,46.28,$4.71,9.83
2021-03-31,32.07,$4.55,7.05
2020-12-31,23.76,$5.27,4.51
2020-09-30,20.18,$3.96,5.1
2020-03-31,8.8,$0.92,9.56
2019-12-31,7.48,$1.15,6.5
2019-09-30,6.19,$-0.16,0.0
2019-06-30,8.88,$-0.94,0.0
2019-03-31,8.01,$0.97,8.29
2018-12-31,11.35,$0.24,46.75
2018-09-30,17.89,$2.52,7.1
2018-06-30,15.49,$3.93,3.94
2018-03-31,16.32,$3.25,5.02
2017-12-31,14.57,$4.77,3.05
2017-09-30,22.94,$3.66,6.27
2017-06-30,22.51,$3.17,7.09
2020-06-30,14.45,$3.10,4.66
2017-03-31,20.59,$1.15,17.87
2016-12-31,36.9,$1.94,19.06
2016-09-30,39.86,$2.17,18.37
2016-06-30,47.73,$2.64,18.1
2016-03-31,51.91,$2.52,20.57
2015-12-31,44.51,$2.48,17.94
