Ultrapar Participacoes S.A Price to Free Cash Flow Ratio Historical Data,Ultrapar Participacoes S.A Price to Free Cash Flow Ratio Historical Data,Ultrapar Participacoes S.A Price to Free Cash Flow Ratio Historical Data,Ultrapar Participacoes S.A Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,3.68,,4.63
2024-06-30,3.87,$0.79,4.87
2024-03-31,5.66,$0.62,9.09
2023-12-31,5.29,$0.61,8.72
2023-09-30,3.58,$1.08,3.32
2023-06-30,3.78,$0.49,7.77
2023-03-31,2.63,$0.77,3.41
2022-12-31,2.31,$0.69,3.35
2022-09-30,2.09,$0.03,60.7
2022-06-30,2.25,$-0.75,0.0
2022-03-31,2.82,$0.06,44.29
2021-12-31,2.43,$0.29,8.34
2021-09-30,2.48,$0.24,10.14
2021-06-30,3.41,$1.39,2.46
2021-03-31,3.46,$0.24,14.57
2020-12-31,4.01,$0.41,9.7
2020-09-30,3.03,$0.40,7.67
2020-06-30,3.0,$0.46,6.55
2020-03-31,2.15,$0.54,3.96
2019-12-31,5.48,$0.45,12.14
2019-09-30,3.91,$0.49,7.92
2019-06-30,4.53,$0.45,10.06
2019-03-31,5.16,$0.40,12.97
2018-12-31,5.77,$0.22,26.32
2018-09-30,3.95,$0.17,23.85
2018-06-30,4.98,$0.10,49.72
2018-03-31,9.1,$0.15,62.22
2017-12-31,9.45,$0.31,30.93
2017-09-30,9.9,$0.46,21.49
2017-06-30,9.66,$0.55,17.71
2017-03-31,9.33,$0.54,17.42
2016-12-31,8.4,$0.40,20.94
2016-09-30,8.87,$0.62,14.31
2016-06-30,8.83,$0.62,14.25
2016-03-31,7.73,$0.56,13.75
2015-12-31,6.03,$0.70,8.66
2015-09-30,6.61,$0.69,9.57
2015-06-30,8.21,$0.82,10.08
2015-03-31,7.89,$0.90,8.82
2014-12-31,7.37,$0.79,9.31
2014-09-30,8.16,$0.67,12.19
2014-06-30,9.0,$0.63,14.4
2014-03-31,9.19,$0.68,13.61
2013-12-31,8.91,$0.64,13.94
2013-09-30,9.26,$0.79,11.66
2013-06-30,8.91,$0.71,12.61
2013-03-31,9.44,$0.68,13.9
2012-12-31,8.18,$0.81,10.1
2012-09-30,8.19,$0.70,11.75
2012-06-30,8.24,$0.84,9.81
2012-03-31,7.88,$0.65,12.17
2011-12-31,6.17,$0.62,9.97
2011-09-30,5.67,$0.53,10.78
2011-06-30,6.39,$0.44,14.44
2011-03-31,5.97,$0.56,10.59
2010-12-31,5.6,$0.48,11.63
2010-09-30,5.3,$0.27,19.54
2010-06-30,4.04,$0.29,13.97
2010-03-31,4.14,$0.27,15.39
2009-12-31,3.95,$0.45,8.87
