Renasant Price to Free Cash Flow Ratio Historical Data,Renasant Price to Free Cash Flow Ratio Historical Data,Renasant Price to Free Cash Flow Ratio Historical Data,Renasant Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,34.21,,10.46
2024-06-30,30.34,$3.27,9.27
2024-03-31,30.87,$3.69,8.38
2023-12-31,32.95,$2.32,14.2
2023-09-30,25.45,$2.53,10.06
2023-06-30,25.18,$3.11,8.11
2023-03-31,29.26,$6.11,4.78
2022-12-31,35.72,$10.03,3.56
2022-09-30,29.55,$9.04,3.27
2022-06-30,27.04,$7.75,3.49
2022-03-31,31.15,$7.12,4.38
2021-12-31,35.13,$2.45,14.33
2021-09-30,33.17,$1.86,17.79
2021-06-30,36.57,$1.02,35.87
2021-03-31,37.64,$2.28,16.52
2020-12-31,30.48,$1.11,27.58
2020-09-30,20.43,$2.92,7.0
2020-06-30,22.18,$2.75,8.06
2020-03-31,19.28,$-2.09,0.0
2019-12-31,30.95,$2.59,11.95
2019-09-30,30.41,$1.89,16.09
2019-06-30,31.03,$3.69,8.4
2019-03-31,29.04,$5.08,5.72
2018-12-31,25.74,$1.31,19.62
2018-09-30,35.14,$3.26,10.8
2018-06-30,38.64,$2.68,14.42
2018-03-31,35.98,$1.93,18.63
2017-12-31,34.42,$4.47,7.7
2017-09-30,35.94,$2.06,17.44
2017-06-30,36.48,$4.30,8.48
2017-03-31,32.96,$6.28,5.25
2016-12-31,34.91,$4.04,8.64
2016-09-30,27.69,$6.67,4.15
2016-06-30,26.49,$7.64,3.46
2016-03-31,26.82,$7.25,3.7
2015-12-31,27.89,$6.34,4.4
2015-09-30,26.5,$3.60,7.36
2015-06-30,26.16,$0.25,102.81
2015-03-31,23.99,$0.86,27.98
2014-12-31,22.96,$3.32,6.92
2014-09-30,21.34,$3.52,6.06
2014-06-30,22.8,$4.93,4.62
2014-03-31,22.65,$4.31,5.25
2013-12-31,24.38,$5.29,4.61
2013-09-30,20.93,$5.79,3.62
2013-06-30,18.63,$4.65,4.01
2013-03-31,17.01,$5.56,3.06
2012-12-31,14.44,$6.39,2.26
2012-09-30,14.65,$6.63,2.21
2012-06-30,11.64,$6.86,1.7
2012-03-31,11.93,$6.44,1.85
2011-12-31,10.87,$5.83,1.86
2011-09-30,9.12,$5.36,1.7
2011-06-30,10.24,$4.47,2.29
2011-03-31,11.86,$4.13,2.87
2010-12-31,11.68,$3.87,3.02
2010-09-30,10.4,$1.95,5.33
2010-06-30,9.7,$3.66,2.65
2010-03-31,10.8,$3.87,2.79
2009-12-31,8.98,$2.29,3.92
