Humana Price to Free Cash Flow Ratio Historical Data,Humana Price to Free Cash Flow Ratio Historical Data,Humana Price to Free Cash Flow Ratio Historical Data,Humana Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,354.47,,0.0
2024-06-30,373.65,$-38.19,0.0
2024-03-31,345.9,$-23.84,0.0
2023-12-31,455.57,$25.61,17.79
2023-09-30,483.21,$41.61,11.61
2023-06-30,443.29,$96.82,4.58
2023-03-31,480.34,$78.70,6.1
2022-12-31,505.87,$27.28,18.54
2022-09-30,478.47,$65.89,7.26
2022-06-30,460.84,$21.19,21.75
2022-03-31,427.73,$16.07,26.62
2021-12-31,455.12,$7.31,62.25
2021-09-30,381.24,$10.88,35.03
2021-06-30,432.96,$3.20,135.32
2021-03-31,409.36,$24.32,16.83
2020-12-31,399.93,$35.15,11.38
2020-09-30,402.84,$37.12,10.85
2020-06-30,376.81,$42.23,8.92
2020-03-31,304.66,$30.31,10.05
2019-12-31,354.88,$33.76,10.51
2019-09-30,247.18,$28.18,8.77
2019-06-30,255.95,$2.55,100.5
2019-03-31,256.09,$-8.74,0.0
2018-12-31,275.23,$11.28,24.4
2018-09-30,324.65,$-6.16,0.0
2018-06-30,285.01,$21.41,13.31
2018-03-31,257.0,$22.39,11.48
2017-12-31,236.71,$24.23,9.77
2017-09-30,232.1,$26.06,8.91
2017-06-30,228.86,$36.21,6.32
2017-03-31,195.74,$34.26,5.71
2016-12-31,193.08,$9.34,20.68
2016-09-30,167.12,$29.90,5.59
2016-06-30,169.95,$6.99,24.33
2016-03-31,172.57,$4.89,35.27
2015-12-31,168.12,$2.29,73.44
2015-09-30,168.31,$1.16,145.18
2015-06-30,179.56,$0.34,526.72
2015-03-31,166.86,$3.28,50.86
2014-12-31,134.42,$6.99,19.22
2014-09-30,121.7,$5.90,20.63
2014-06-30,119.04,$7.17,16.61
2014-03-31,104.83,$9.64,10.88
2013-12-31,95.77,$8.04,11.92
2013-09-30,86.36,$9.50,9.09
2013-06-30,77.86,$-5.66,0.0
2013-03-31,63.56,$-2.34,0.0
2012-12-31,62.88,$9.26,6.79
2012-09-30,64.03,$-2.88,0.0
2012-06-30,70.42,$22.92,3.07
2012-03-31,83.82,$19.72,4.25
2011-12-31,79.18,$10.39,7.62
2011-09-30,65.55,$21.27,3.08
2011-06-30,72.35,$10.97,6.59
2011-03-31,62.64,$11.97,5.23
2010-12-31,49.02,$11.90,4.12
2010-09-30,44.99,$13.86,3.25
2010-06-30,40.9,$12.39,3.3
2010-03-31,41.89,$11.49,3.64
2009-12-31,39.31,$7.32,5.37
