Olin Price to Free Cash Flow Ratio Historical Data,Olin Price to Free Cash Flow Ratio Historical Data,Olin Price to Free Cash Flow Ratio Historical Data,Olin Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,47.41,,10.13
2024-06-30,46.92,$4.68,10.02
2024-03-31,58.3,$6.43,9.06
2023-12-31,53.3,$5.96,8.95
2023-09-30,49.15,$5.30,9.27
2023-06-30,50.37,$7.71,6.53
2023-03-31,54.19,$9.34,5.8
2022-12-31,51.52,$11.45,4.5
2022-09-30,41.58,$12.06,3.45
2022-06-30,44.71,$11.28,3.97
2022-03-31,50.34,$10.55,4.77
2021-12-31,55.16,$8.95,6.16
2021-09-30,46.12,$7.51,6.14
2021-06-30,44.03,$4.70,9.36
2020-12-31,23.13,$0.85,27.23
2020-09-30,11.55,$0.59,19.66
2020-06-30,10.52,$0.72,14.54
2020-03-31,10.52,$1.13,9.28
2019-12-31,15.35,$2.30,6.66
2021-03-31,35.98,$2.25,16.0
2019-09-30,16.49,$2.14,7.69
2019-06-30,19.09,$2.87,6.65
2019-03-31,19.97,$3.18,6.27
2018-12-31,17.21,$3.12,5.52
2018-09-30,21.78,$2.55,8.55
2018-06-30,24.19,$2.20,11.01
2018-03-31,25.45,$1.98,12.83
2017-12-31,29.6,$2.13,13.87
2017-09-30,28.34,$2.18,13.01
2017-06-30,24.89,$2.38,10.46
2017-03-31,26.84,$2.49,10.77
2016-12-31,20.77,$2.22,9.37
2016-09-30,16.49,$1.81,9.11
2016-06-30,19.78,$1.11,17.83
2016-03-31,13.7,$1.32,10.36
2015-12-31,13.41,$1.09,12.34
2015-09-30,12.93,$1.26,10.27
2015-06-30,20.55,$1.36,15.13
2015-03-31,24.27,$-2.54,0.0
2014-12-31,17.12,$-1.45,0.0
2014-09-30,18.83,$0.17,111.23
2014-06-30,19.92,$0.45,44.44
2013-12-31,21.03,$3.30,6.38
2013-09-30,16.68,$3.38,4.94
2013-06-30,17.15,$0.96,17.9
2013-03-31,17.93,$0.41,43.55
2012-12-31,15.22,$0.74,20.55
2014-03-31,20.29,$-0.89,0.0
2012-09-30,15.18,$-0.13,0.0
2012-06-30,14.45,$-0.04,0.0
2012-03-31,14.9,$0.00,0.0
2011-12-31,13.34,$0.32,41.3
2011-09-30,12.1,$0.54,22.52
2011-06-30,15.06,$0.44,33.97
2011-03-31,15.11,$0.29,52.29
2010-12-31,13.38,$0.42,32.11
2010-09-30,13.01,$0.85,15.26
2010-06-30,11.56,$0.99,11.64
2010-03-31,12.41,$1.41,8.82
2009-12-31,10.94,$0.90,12.1
