Arcos Dorados Holdings Price to Free Cash Flow Ratio Historical Data,Arcos Dorados Holdings Price to Free Cash Flow Ratio Historical Data,Arcos Dorados Holdings Price to Free Cash Flow Ratio Historical Data,Arcos Dorados Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,9.53,,0.0
2024-06-30,8.94,$-0.09,0.0
2024-03-31,10.97,$-0.13,0.0
2023-12-31,12.45,$0.12,107.41
2023-09-30,9.25,$0.11,80.93
2023-06-30,9.97,$0.18,54.22
2023-03-31,7.46,$0.49,15.23
2022-12-31,8.04,$0.62,12.92
2022-09-30,6.98,$0.91,7.66
2022-06-30,6.42,$1.00,6.39
2022-03-31,7.7,$0.79,9.8
2021-12-31,5.49,$0.69,7.97
2021-09-30,4.82,$0.53,9.03
2021-06-30,5.55,$0.24,22.86
2021-03-31,4.73,$0.09,54.65
2020-12-31,4.67,$-0.33,0.0
2020-09-30,3.79,$-0.60,0.0
2020-06-30,3.8,$-0.66,0.0
2020-03-31,2.98,$-0.62,0.0
2019-12-31,7.23,$-0.19,0.0
2019-09-30,5.97,$-0.05,0.0
2019-06-30,6.44,$-0.08,0.0
2019-03-31,6.3,$0.12,51.91
2018-12-31,6.94,$-0.07,0.0
2018-09-30,5.45,$0.11,47.69
2018-06-30,6.06,$0.28,21.69
2018-03-31,7.98,$0.48,16.71
2017-12-31,8.98,$0.65,13.74
2017-09-30,8.72,$0.73,11.9
2017-06-30,6.46,$0.76,8.48
2017-03-31,6.98,$0.75,9.31
2016-12-31,4.68,$0.74,6.34
2016-09-30,4.57,$0.65,7.03
2016-06-30,4.14,$0.54,7.73
2016-03-31,3.25,$0.33,9.95
2015-12-31,2.7,$0.19,14.08
2015-09-30,2.36,$0.47,5.02
2015-06-30,4.56,$0.32,14.1
2015-03-31,4.28,$0.19,22.07
2014-12-31,4.69,$0.11,43.57
2014-09-30,5.13,$-0.56,0.0
2014-06-30,9.51,$-0.40,0.0
2014-03-31,8.51,$-0.46,0.0
2013-12-31,10.18,$-0.41,0.0
2013-09-30,9.9,$-0.37,0.0
2013-06-30,9.71,$-0.37,0.0
2013-03-31,10.92,$-0.36,0.0
2012-12-31,9.85,$-0.27,0.0
2012-09-30,12.59,$-0.28,0.0
2012-06-30,12.01,$-0.48,0.0
2012-03-31,14.65,$-0.37,0.0
