Helios Technologies Price to Free Cash Flow Ratio Historical Data,Helios Technologies Price to Free Cash Flow Ratio Historical Data,Helios Technologies Price to Free Cash Flow Ratio Historical Data,Helios Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,48.51,,23.37
2024-06-30,47.57,$2.08,22.92
2024-03-31,44.43,$1.78,24.91
2023-12-31,44.99,$1.51,29.75
2023-09-30,54.95,$1.71,32.2
2023-06-30,65.36,$2.19,29.88
2023-03-31,64.59,$2.38,27.18
2022-12-31,53.68,$2.61,20.54
2022-09-30,49.81,$2.33,21.41
2022-06-30,65.12,$2.45,26.57
2022-03-31,78.79,$2.69,29.34
2021-12-31,103.17,$2.59,39.87
2021-09-30,80.46,$2.67,30.17
2021-06-30,76.39,$2.97,25.76
2021-03-31,71.23,$2.78,25.61
2020-12-31,52.0,$2.92,17.79
2020-09-30,35.44,$3.24,10.93
2020-06-30,36.17,$2.81,12.88
2020-03-31,36.73,$2.08,17.69
2019-12-31,44.69,$2.04,21.86
2019-09-30,39.12,$1.75,22.37
2019-06-30,44.67,$1.25,35.7
2019-03-31,44.68,$1.57,28.52
2018-12-31,31.8,$1.57,20.26
2018-09-30,52.39,$0.69,75.55
2018-06-30,46.0,$0.98,47.09
2018-03-31,51.04,$0.92,55.27
2017-12-31,61.56,$1.01,61.13
2017-09-30,51.31,$1.32,38.82
2017-06-30,40.54,$1.16,34.9
2017-03-31,34.24,$-0.07,0.0
2016-12-31,37.78,$-0.22,0.0
2016-09-30,30.44,$0.04,680.87
2016-06-30,27.92,$0.25,113.5
2015-12-31,29.63,$1.70,17.4
2015-09-30,25.58,$3.04,8.41
2015-06-30,35.38,$2.93,12.09
2015-03-31,38.3,$3.13,12.22
2014-12-31,36.3,$3.17,11.46
2016-03-31,31.12,$1.86,16.76
2014-09-30,33.67,$1.78,18.95
2014-06-30,36.28,$1.41,25.75
2014-03-31,38.61,$1.13,34.15
2013-12-31,36.25,$1.12,32.29
2013-09-30,32.13,$1.06,30.32
2013-06-30,27.64,$1.29,21.35
2013-03-31,28.65,$1.41,20.29
2012-12-31,22.85,$1.50,15.26
2012-09-30,22.32,$1.61,13.9
2012-06-30,20.33,$1.52,13.36
2012-03-31,21.81,$1.42,15.38
2011-12-31,19.39,$1.54,12.63
2011-09-30,16.8,$1.46,11.51
2011-06-30,26.16,$1.26,20.69
2011-03-31,23.54,$1.29,18.28
2010-12-31,20.55,$0.84,24.45
2010-09-30,15.05,$0.67,22.48
2010-06-30,12.49,$0.58,21.35
2010-03-31,13.78,$0.25,56.1
2009-12-31,13.87,$0.34,40.96
