HSBC Price to Free Cash Flow Ratio Historical Data,HSBC Price to Free Cash Flow Ratio Historical Data,HSBC Price to Free Cash Flow Ratio Historical Data,HSBC Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,44.37,,inf
2024-03-31,37.57,0,0.0
2023-12-31,37.17,0,0.0
2023-09-30,35.7,0,0.0
2023-03-31,30.1,0,0.0
2022-09-30,22.3,0,0.0
2022-03-31,28.87,0,0.0
2021-09-30,21.44,0,0.0
2021-03-31,23.59,0,0.0
2020-09-30,15.46,0,0.0
2019-09-30,29.81,0,0.0
2019-03-31,31.24,0,0.0
2018-09-30,32.62,0,0.0
2018-03-31,34.61,$17.08,2.03
2017-09-30,34.8,$-0.07,0.0
2017-03-31,28.14,$17.08,1.65
2016-12-31,27.01,$17.08,1.58
2016-09-30,24.95,$-0.63,0.0
2016-06-30,20.48,$16.53,1.24
2016-03-31,20.04,$-4.17,0.0
2015-12-31,24.61,$-0.63,0.0
2020-03-31,22.11,0,0.0
2015-09-30,23.32,$-5.97,0.0
2015-06-30,27.27,$2.72,10.03
2015-03-31,25.65,$-5.97,0.0
2014-12-31,27.81,$-5.97,0.0
2014-09-30,29.66,$6.48,4.58
2014-06-30,29.34,$-3.56,0.0
2014-03-31,29.08,$6.48,4.49
2013-12-31,30.95,$6.48,4.78
2013-09-30,30.19,$-5.12,0.0
2013-06-30,28.61,$-2.85,0.0
2013-03-31,29.15,$-5.12,0.0
2012-12-31,28.52,$-5.12,0.0
2012-09-30,24.74,$22.03,1.12
2012-06-30,23.26,$-25.19,0.0
2012-03-31,23.16,$22.03,1.05
2011-12-31,19.57,$22.03,0.89
2011-09-30,19.3,$16.26,1.19
2011-06-30,24.93,$-1.73,0.0
2011-03-31,25.8,$16.26,1.59
2010-12-31,25.12,$16.26,1.54
2010-09-30,24.71,0,0.0
