StoneX Group Price to Free Cash Flow Ratio Historical Data,StoneX Group Price to Free Cash Flow Ratio Historical Data,StoneX Group Price to Free Cash Flow Ratio Historical Data,StoneX Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,88.18,,4.43
2024-06-30,75.31,$19.89,3.79
2024-03-31,70.26,$46.70,1.5
2023-12-31,73.83,$-31.49,0.0
2023-09-30,96.92,$-2.28,0.0
2023-06-30,83.08,$-5.38,0.0
2023-03-31,103.53,$-98.69,0.0
2022-12-31,95.3,$44.80,2.13
2022-09-30,82.94,$-9.27,0.0
2022-06-30,78.07,$7.63,10.23
2022-03-31,74.23,$117.95,0.63
2021-12-31,61.25,$54.36,1.13
2021-09-30,65.9,$69.92,0.94
2021-06-30,60.67,$69.88,0.87
2021-03-31,65.38,$47.91,1.36
2020-12-31,57.9,$62.39,0.93
