Vital Farms Price to Free Cash Flow Ratio Historical Data,Vital Farms Price to Free Cash Flow Ratio Historical Data,Vital Farms Price to Free Cash Flow Ratio Historical Data,Vital Farms Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,40.27,,30.87
2024-06-30,46.77,$1.30,35.86
2024-03-31,23.25,$1.34,17.32
2023-12-31,15.69,$0.93,16.81
2023-09-30,11.58,$0.26,45.38
2023-06-30,11.99,$0.11,109.1
2023-03-31,15.3,$-0.16,0.0
2022-12-31,14.92,$-0.42,0.0
2022-09-30,11.97,$-0.19,0.0
2022-06-30,8.75,$-0.33,0.0
2022-03-31,12.36,$-0.25,0.0
2021-12-31,18.06,$0.02,806.25
2021-09-30,17.57,$-0.20,0.0
2021-06-30,19.96,$0.22,91.6
