Magna Price to Free Cash Flow Ratio Historical Data,Magna Price to Free Cash Flow Ratio Historical Data,Magna Price to Free Cash Flow Ratio Historical Data,Magna Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,42.28,,12.26
2024-06-30,41.42,$3.45,12.01
2024-03-31,53.32,$2.74,19.46
2023-12-31,57.33,$2.52,22.73
2023-09-30,51.59,$2.02,25.51
2023-06-30,53.86,$1.14,47.38
2023-03-31,50.67,$1.26,40.31
2022-12-31,52.7,$1.87,28.21
2022-09-30,44.16,$2.68,16.48
2022-06-30,50.77,$3.21,15.82
2022-03-31,59.01,$3.67,16.07
2021-12-31,73.81,$5.31,13.9
2021-09-30,68.28,$8.56,7.98
2021-06-30,83.61,$13.03,6.42
2021-03-31,79.1,$7.50,10.54
2020-12-31,63.29,$7.48,8.46
2020-09-30,40.63,$6.03,6.74
2020-06-30,39.14,$2.90,13.51
2020-03-31,27.78,$9.50,2.93
2019-12-31,47.31,$9.29,5.09
2019-09-30,45.7,$7.77,5.88
2019-06-30,42.27,$8.46,5.0
2019-03-31,41.06,$6.90,5.95
2018-12-31,38.05,$6.59,5.77
2018-09-30,43.6,$5.96,7.32
2018-06-30,47.97,$5.24,9.16
2018-03-31,46.26,$5.24,8.83
2017-12-31,46.23,$4.95,9.33
2017-09-30,43.33,$5.56,7.79
2017-06-30,37.39,$4.75,7.87
2017-03-31,34.62,$4.84,7.15
2016-12-31,34.59,$4.06,8.52
2016-09-30,34.02,$2.23,15.28
2016-06-30,27.61,$2.35,11.75
2016-03-31,33.61,$2.33,14.45
2015-12-31,31.54,$2.48,12.72
2015-09-30,37.15,$2.17,17.08
2015-06-30,43.2,$2.51,17.2
2015-03-31,41.17,$2.72,15.15
2014-12-31,41.52,$3.28,12.65
2014-09-30,36.13,$4.69,7.7
2014-06-30,40.88,$3.76,10.89
2014-03-31,36.4,$4.21,8.64
2013-12-31,30.9,$3.46,8.92
2013-09-30,30.96,$2.40,12.89
2013-06-30,26.6,$2.65,10.02
2013-03-31,21.82,$1.94,11.26
2012-12-31,18.49,$1.98,9.31
2012-09-30,15.89,$1.40,11.39
2012-06-30,14.4,$0.66,21.82
2012-03-31,17.31,$0.42,41.31
2011-12-31,12.01,$-0.06,0.0
2011-09-30,11.8,$0.13,90.04
2011-06-30,19.21,$1.22,15.7
2011-03-31,16.94,$1.87,9.07
2010-12-31,18.3,$2.22,8.25
2010-09-30,14.42,$2.12,6.8
2010-06-30,11.47,$1.00,11.48
2010-03-31,10.67,$-0.09,0.0
2009-12-31,8.73,$-0.23,0.0
