OPKO Health Price to Free Cash Flow Ratio Historical Data,OPKO Health Price to Free Cash Flow Ratio Historical Data,OPKO Health Price to Free Cash Flow Ratio Historical Data,OPKO Health Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,1.46,,0.0
2024-06-30,1.25,$-0.12,0.0
2024-03-31,1.2,$-0.08,0.0
2023-12-31,1.51,$-0.06,0.0
2023-09-30,1.6,$-0.06,0.0
2023-06-30,2.17,$-0.15,0.0
2023-03-31,1.46,$-0.16,0.0
2022-12-31,1.25,$-0.16,0.0
2022-09-30,1.89,$-0.13,0.0
2022-06-30,2.53,$0.07,38.8
2022-03-31,3.44,$0.05,72.27
2021-12-31,4.81,$0.11,43.18
2021-09-30,3.65,$0.17,21.15
2021-06-30,4.05,$0.11,35.28
2021-03-31,4.29,$0.11,38.24
2020-12-31,3.95,$0.01,0.0
2020-09-30,3.69,$-0.11,0.0
2020-06-30,3.41,$-0.24,0.0
2020-03-31,1.34,$-0.15,0.0
2019-12-31,1.47,$-0.13,0.0
2019-09-30,2.09,$-0.12,0.0
2019-06-30,2.44,$-0.11,0.0
2018-12-31,3.01,$-0.24,0.0
2018-09-30,3.46,$-0.32,0.0
2018-06-30,4.7,$-0.35,0.0
2018-03-31,3.17,$-0.40,0.0
2017-12-31,4.9,$-0.38,0.0
2019-03-31,2.61,$-0.31,0.0
2017-09-30,6.86,$-0.17,0.0
2017-06-30,6.58,$-0.14,0.0
2017-03-31,8.0,$-0.01,0.0
2016-12-31,9.3,$0.03,347.01
2016-09-30,10.59,$-0.04,0.0
2016-06-30,9.34,$-0.09,0.0
2016-03-31,10.39,$-0.26,0.0
2015-12-31,10.05,$0.31,32.03
2015-09-30,8.41,$0.26,32.11
2015-06-30,16.08,$0.32,49.49
2015-03-31,14.17,$0.37,38.78
2014-12-31,9.99,$-0.23,0.0
2014-09-30,8.51,$-0.24,0.0
2014-06-30,8.84,$-0.25,0.0
2014-03-31,9.32,$-0.17,0.0
2013-12-31,8.44,$-0.17,0.0
2013-09-30,8.81,$-0.11,0.0
2013-06-30,7.1,$-0.06,0.0
2013-03-31,7.63,$-0.07,0.0
2012-12-31,4.81,$-0.04,0.0
2012-09-30,4.18,$-0.04,0.0
2012-06-30,4.6,$-0.04,0.0
2011-12-31,4.9,$-0.07,0.0
2011-09-30,4.33,$-0.08,0.0
2011-06-30,3.69,$-0.11,0.0
2011-03-31,3.73,$-0.12,0.0
2010-12-31,3.67,$-0.14,0.0
2012-03-31,4.73,$-0.11,0.0
2010-09-30,2.24,$-0.09,0.0
2010-06-30,2.26,$-0.11,0.0
2010-03-31,1.98,$-0.11,0.0
2009-12-31,1.83,$-0.17,0.0
