Aegon Price to Free Cash Flow Ratio Historical Data,Aegon Price to Free Cash Flow Ratio Historical Data,Aegon Price to Free Cash Flow Ratio Historical Data,Aegon Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,6.36,,12.75
2023-06-30,4.65,$0.50,9.32
2022-12-31,4.5,$1.15,3.9
2022-09-30,3.53,$1.54,2.3
2022-06-30,3.82,$0.77,4.94
2022-03-31,4.52,$0.05,85.05
2021-12-31,4.23,$-0.85,0.0
2021-09-30,4.35,$-1.26,0.0
2021-06-30,3.47,$-0.89,0.0
2021-03-31,3.91,$0.21,19.04
2017-12-31,4.56,$0.21,21.71
2017-09-30,4.19,$0.16,25.68
2017-06-30,3.6,$0.54,6.71
2017-03-31,3.51,$-0.65,0.0
2016-12-31,3.79,$1.37,2.76
2016-09-30,2.64,$1.21,2.19
2016-06-30,2.65,$1.34,1.99
2016-03-31,3.53,$0.38,9.32
2015-12-31,3.64,$0.34,10.58
2015-09-30,3.69,$1.41,2.63
2015-06-30,4.65,$1.78,2.62
2015-03-31,4.9,$3.09,1.59
2014-12-31,4.64,$2.56,1.81
2014-09-30,5.08,$1.39,3.65
2014-06-30,5.32,$0.28,19.27
2014-03-31,5.49,$0.20,27.8
2013-12-31,5.65,$-1.12,0.0
2013-09-30,4.41,$-0.90,0.0
2013-06-30,3.95,$-0.98,0.0
2013-03-31,3.44,$-0.94,0.0
2012-12-31,3.68,$-0.67,0.0
2012-09-30,2.98,$-0.44,0.0
2012-06-30,2.58,$1.75,1.48
2012-03-31,3.01,$1.88,1.6
2011-12-31,2.18,$1.64,1.33
2011-09-30,2.19,$-0.04,0.0
2011-06-30,3.68,$-0.44,0.0
2011-03-31,4.06,$-0.02,0.0
2010-12-31,3.32,$0.92,3.62
2010-09-30,3.25,$0.80,4.07
2010-06-30,2.86,$0.12,23.57
2010-03-31,3.69,$-0.93,0.0
2009-12-31,3.47,$-5.87,0.0
