Alphabet Price to Free Cash Flow Ratio Historical Data,Alphabet Price to Free Cash Flow Ratio Historical Data,Alphabet Price to Free Cash Flow Ratio Historical Data,Alphabet Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,163.38,,161.67
2024-06-30,182.15,$1.01,180.24
2023-12-31,139.53,$5.11,27.3
2023-09-30,130.71,$7.55,17.3
2023-06-30,119.56,$7.13,16.77
2023-03-31,103.61,$6.70,15.47
2022-12-31,88.13,$6.34,13.89
2024-03-31,150.76,$4.40,34.24
2022-09-30,95.54,$4.42,21.6
2022-06-30,108.84,$4.56,23.87
2022-03-31,138.91,$4.79,28.98
2021-12-31,144.69,$4.63,31.22
2021-09-30,133.52,$4.53,29.5
2021-06-30,121.95,$4.01,30.38
2021-03-31,103.01,$3.47,29.69
2020-12-31,87.53,$2.92,29.96
2020-09-30,73.2,$1.14,64.3
2020-06-30,70.82,$2.11,33.6
2020-03-31,58.03,$1.95,29.69
2019-12-31,66.89,$2.08,32.18
2019-09-30,60.99,$3.09,19.76
2019-06-30,54.08,$1.85,29.22
2019-03-31,58.78,$1.72,34.1
2018-12-31,52.19,$1.52,34.29
2018-09-30,60.29,$1.52,39.68
2018-06-30,56.4,$1.41,39.86
2018-03-31,51.8,$0.14,370.78
2017-12-31,52.61,$0.27,192.99
2017-09-30,48.63,$0.38,127.61
2017-06-30,46.43,$0.43,108.46
2016-12-31,39.58,$1.74,22.7
2016-09-30,40.16,$1.97,20.43
2016-06-30,35.14,$1.94,18.13
2016-03-31,38.1,$1.72,22.18
2015-12-31,38.86,$1.68,23.17
2017-03-31,42.34,$1.29,32.9
2015-09-30,31.82,$1.05,30.35
2015-06-30,26.97,$1.04,25.99
2015-03-31,27.7,$0.92,30.14
2014-12-31,26.5,$0.81,32.6
2014-09-30,29.39,$0.73,40.1
2014-06-30,29.2,$0.70,41.87
2014-03-31,27.92,$0.74,37.95
2013-12-31,28.07,$0.77,36.61
2013-09-30,21.94,$0.89,24.66
2013-06-30,22.05,$0.92,24.07
2013-03-31,19.89,$0.95,20.93
2012-12-31,17.72,$1.00,17.65
2012-09-30,18.9,$0.95,19.79
2012-06-30,14.53,$0.97,14.95
2012-03-31,16.06,$0.91,17.67
2011-12-31,16.18,$0.85,19.03
2011-09-30,12.9,$0.70,18.51
2011-06-30,12.68,$0.61,20.65
2011-03-31,14.7,$0.54,27.25
2010-12-31,14.88,$0.55,27.24
2010-09-30,13.17,$0.67,19.7
2010-06-30,11.15,$0.70,15.9
2010-03-31,14.21,$0.69,20.56
2009-12-31,15.53,$0.67,23.33
