Kforce Price to Free Cash Flow Ratio Historical Data,Kforce Price to Free Cash Flow Ratio Historical Data,Kforce Price to Free Cash Flow Ratio Historical Data,Kforce Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,56.06,,13.93
2024-06-30,61.75,$4.02,15.35
2024-03-31,69.66,$4.01,17.35
2023-12-31,66.37,$4.29,15.47
2023-09-30,58.3,$3.67,15.88
2023-06-30,60.86,$2.59,23.46
2023-03-31,61.05,$3.15,19.41
2022-12-31,52.62,$4.03,13.05
2022-09-30,55.95,$4.11,13.6
2022-06-30,58.23,$4.80,12.12
2022-03-31,69.91,$5.03,13.91
2021-12-31,70.78,$4.25,16.65
2021-09-30,55.92,$4.34,12.87
2021-06-30,58.75,$5.83,10.09
2021-03-31,49.86,$5.90,8.44
2020-12-31,38.98,$4.97,7.85
2020-09-30,29.65,$4.93,6.02
2020-06-30,26.8,$3.60,7.44
2020-03-31,23.28,$7.16,3.25
2019-12-31,35.92,$7.52,4.78
2019-09-30,34.08,$7.82,4.36
2019-06-30,31.44,$7.67,4.1
2019-03-31,31.3,$3.37,9.29
2018-12-31,27.42,$3.31,8.29
2018-09-30,33.14,$3.38,9.81
2018-06-30,30.11,$2.31,13.06
2018-03-31,23.66,$1.81,13.08
2017-12-31,21.99,$0.96,22.98
2017-09-30,17.51,$0.28,63.03
2017-06-30,16.88,$0.61,27.9
2017-03-31,20.32,$0.47,43.65
2016-12-31,19.67,$1.04,18.86
2016-09-30,17.36,$1.30,13.33
2016-06-30,14.22,$1.91,7.45
2016-03-31,16.38,$3.28,5.0
2015-12-31,21.01,$2.24,9.38
2015-09-30,21.74,$1.41,15.43
2015-06-30,18.84,$0.64,29.37
2014-12-31,19.69,$-0.99,0.0
2014-09-30,15.89,$-0.62,0.0
2014-06-30,17.49,$0.03,502.6
2014-03-31,17.15,$-0.02,0.0
2013-12-31,16.38,$-0.03,0.0
2015-03-31,18.29,$0.26,70.3
2013-09-30,14.09,$0.73,19.21
2013-06-30,11.62,$1.19,9.79
2013-03-31,13.03,$1.13,11.52
2012-12-31,11.42,$1.48,7.72
2012-09-30,8.7,$0.95,9.14
2012-06-30,9.94,$0.47,20.97
2012-03-31,11.0,$0.72,15.28
2011-12-31,9.1,$0.55,16.59
2011-09-30,7.24,$0.56,12.84
2011-06-30,9.66,$0.84,11.43
2011-03-31,13.51,$0.08,163.17
2010-12-31,11.95,$-0.23,0.0
2010-09-30,10.13,$-0.28,0.0
2010-06-30,9.41,$-0.27,0.0
2010-03-31,11.23,$0.65,17.15
2009-12-31,9.23,$0.99,9.34
