Mercury General Price to Free Cash Flow Ratio Historical Data,Mercury General Price to Free Cash Flow Ratio Historical Data,Mercury General Price to Free Cash Flow Ratio Historical Data,Mercury General Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,68.13,,4.84
2024-06-30,52.85,$14.06,3.76
2024-03-31,51.0,$11.16,4.57
2023-12-31,36.63,$8.06,4.55
2023-09-30,27.3,$5.21,5.24
2023-06-30,29.16,$4.61,6.32
2023-03-31,30.25,$4.14,7.31
2022-12-31,32.26,$5.73,5.63
2022-09-30,26.56,$5.80,4.58
2022-06-30,41.02,$6.11,6.71
2022-03-31,50.23,$7.08,7.1
2021-12-31,47.87,$8.31,5.76
2021-09-30,49.63,$9.95,4.99
2021-06-30,57.27,$11.29,5.07
2021-03-31,53.06,$11.66,4.55
2020-12-31,45.08,$10.22,4.41
2020-09-30,35.29,$9.24,3.82
2020-06-30,34.26,$8.57,4.0
2020-03-31,33.73,$7.23,4.67
2019-12-31,39.65,$8.66,4.58
2019-09-30,44.88,$7.82,5.74
2019-06-30,49.64,$7.76,6.4
2019-03-31,39.35,$8.12,4.84
2018-12-31,40.14,$6.42,6.25
2018-09-30,38.5,$6.58,5.85
2018-06-30,34.56,$6.05,5.71
2018-03-31,34.34,$5.96,5.77
2017-12-31,39.48,$5.93,6.65
2017-09-30,41.39,$6.19,6.69
2017-06-30,39.0,$6.18,6.31
2017-03-31,43.56,$5.43,8.02
2016-12-31,42.55,$4.97,8.57
2016-09-30,38.36,$4.32,8.89
2016-06-30,36.76,$3.71,9.9
2016-03-31,37.92,$3.80,9.97
2015-12-31,31.46,$3.08,10.2
2015-09-30,33.68,$3.16,10.65
2015-06-30,36.65,$3.02,12.14
2015-03-31,37.61,$3.33,11.3
2014-12-31,36.5,$4.01,9.1
2014-09-30,31.09,$3.88,8.01
2014-06-30,29.6,$4.00,7.4
2014-03-31,28.0,$3.30,8.49
2013-12-31,30.45,$3.49,8.72
2013-09-30,29.22,$3.44,8.49
2013-06-30,26.24,$3.29,7.99
2013-03-31,22.32,$2.87,7.79
2012-12-31,22.97,$2.46,9.35
2012-09-30,22.05,$1.64,13.47
2012-06-30,23.41,$1.83,12.78
2012-03-31,24.23,$2.64,9.19
2011-12-31,24.93,$2.62,9.53
2011-09-30,20.67,$2.61,7.92
2011-06-30,20.96,$2.07,10.14
2011-03-31,20.46,$1.26,16.27
2010-12-31,22.14,$1.17,18.89
2010-09-30,20.75,$1.90,10.91
2010-06-30,20.73,$1.89,10.95
2010-03-31,21.57,$2.49,8.65
2009-12-31,19.11,$2.78,6.88
