Merit Medical Systems Price to Free Cash Flow Ratio Historical Data,Merit Medical Systems Price to Free Cash Flow Ratio Historical Data,Merit Medical Systems Price to Free Cash Flow Ratio Historical Data,Merit Medical Systems Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,95.27,,30.98
2024-06-30,85.95,$3.08,27.94
2024-03-31,75.75,$2.29,33.1
2023-12-31,75.96,$1.90,39.91
2023-09-30,69.02,$1.23,56.31
2023-06-30,83.64,$0.84,99.48
2023-03-31,73.95,$1.19,62.01
2022-12-31,70.62,$1.20,58.75
2022-09-30,56.51,$1.59,35.48
2022-06-30,54.27,$1.56,34.71
2022-03-31,66.52,$-0.01,0.0
2021-12-31,62.3,$0.43,146.28
2021-09-30,71.8,$0.58,123.09
2021-06-30,64.66,$0.86,75.52
2020-12-31,55.51,$2.15,25.79
2020-09-30,43.5,$1.81,24.06
2020-06-30,45.65,$0.87,52.44
2020-03-31,31.25,$0.36,85.85
2019-12-31,31.22,$0.01,3122.0
2019-09-30,30.46,$0.02,1682.87
2019-06-30,59.56,$0.36,165.44
2019-03-31,61.83,$0.51,121.88
2018-12-31,55.81,$0.43,129.37
2018-09-30,61.45,$0.50,122.9
2018-06-30,51.2,$0.22,232.09
2018-03-31,45.35,$0.21,213.51
2017-12-31,43.2,$0.48,89.72
2017-09-30,42.35,$0.51,82.51
2017-06-30,38.15,$0.70,54.76
2017-03-31,28.9,$0.56,51.69
2016-12-31,26.5,$0.46,57.21
2016-09-30,24.29,$0.27,89.86
2016-06-30,19.83,$0.20,98.85
2016-03-31,18.49,$0.24,78.58
2015-12-31,18.59,$0.44,41.91
2015-09-30,23.91,$0.67,35.94
2015-06-30,21.54,$0.75,28.82
2015-03-31,19.25,$0.68,28.23
2014-12-31,17.33,$0.44,39.09
2014-09-30,11.88,$0.32,37.39
2014-06-30,15.1,$0.22,68.45
2014-03-31,14.3,$0.19,73.56
2013-12-31,15.74,$-0.19,0.0
2013-09-30,12.13,$-0.35,0.0
2013-06-30,11.15,$-0.48,0.0
2013-03-31,12.26,$-0.57,0.0
2012-12-31,13.9,$-0.41,0.0
2012-09-30,14.93,$-0.84,0.0
2012-06-30,13.81,$-0.73,0.0
2012-03-31,12.42,$-0.77,0.0
2011-12-31,13.38,$-0.63,0.0
2011-09-30,13.14,$-0.03,0.0
2011-06-30,17.97,$-0.07,0.0
2011-03-31,15.7,$0.18,87.35
2010-12-31,12.66,$0.31,40.94
2010-09-30,12.71,$-0.06,0.0
2010-06-30,12.86,$0.50,25.97
2010-03-31,12.2,$0.33,36.59
2009-12-31,15.39,$0.39,39.27
2021-03-31,59.88,$0.76,78.63
