Agree Realty Price to Free Cash Flow Ratio Historical Data,Agree Realty Price to Free Cash Flow Ratio Historical Data,Agree Realty Price to Free Cash Flow Ratio Historical Data,Agree Realty Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,75.89,,0.0
2024-06-30,61.3,$-4.99,0.0
2024-03-31,56.06,$-6.86,0.0
2023-12-31,60.99,$-9.25,0.0
2023-09-30,52.85,$-12.60,0.0
2023-06-30,61.82,$-12.10,0.0
2023-03-31,64.15,$-13.16,0.0
2022-12-31,65.65,$-15.83,0.0
2022-09-30,61.9,$-15.64,0.0
2022-06-30,65.44,$-16.40,0.0
2022-03-31,59.61,$-16.85,0.0
2021-12-31,63.44,$-16.98,0.0
2021-09-30,58.32,$-30.84,0.0
2021-06-30,61.51,$-31.52,0.0
2021-03-31,58.19,$-29.73,0.0
2020-12-31,57.02,$-29.16,0.0
2020-03-31,51.53,$-14.01,0.0
2019-12-31,57.88,$-13.11,0.0
2019-09-30,59.83,$-17.94,0.0
2019-06-30,51.98,$-13.02,0.0
2019-03-31,55.78,$-13.10,0.0
2018-12-31,47.18,$-12.46,0.0
2020-06-30,55.21,$-7.53,0.0
2018-09-30,41.99,$-9.71,0.0
2018-06-30,41.29,$-7.69,0.0
2018-03-31,37.2,$-9.50,0.0
2017-12-31,39.41,$-8.53,0.0
2017-09-30,37.23,$-8.67,0.0
2017-06-30,34.44,$-8.42,0.0
2017-03-31,35.63,$-10.30,0.0
2016-12-31,33.86,$-10.24,0.0
2016-09-30,35.96,$-10.95,0.0
2016-06-30,34.75,$-10.52,0.0
2016-03-31,27.43,$-6.98,0.0
2015-12-31,23.95,$-8.75,0.0
2015-09-30,20.74,$2.14,9.67
2015-06-30,19.95,$-9.40,0.0
2015-03-31,22.2,$-8.86,0.0
2014-12-31,20.65,$-6.64,0.0
2020-09-30,53.98,$-15.44,0.0
2014-09-30,17.93,$-3.70,0.0
2014-06-30,19.49,$-3.49,0.0
2014-03-31,19.33,$-4.74,0.0
2013-12-31,18.19,$-4.23,0.0
2013-09-30,18.65,$-7.00,0.0
2013-06-30,17.99,$-5.67,0.0
2013-03-31,18.09,$-4.31,0.0
2012-12-31,15.87,$-4.58,0.0
2012-09-30,14.87,$-2.76,0.0
2012-06-30,12.71,$-1.92,0.0
2011-12-31,13.51,$-0.37,0.0
2011-09-30,11.87,$0.03,441.32
2011-06-30,11.95,$0.68,17.6
2011-03-31,11.8,$0.02,556.83
2010-12-31,13.53,$-0.59,0.0
2012-03-31,12.73,$0.24,53.34
2010-09-30,12.8,$1.45,8.8
2010-06-30,11.59,$2.14,5.41
2010-03-31,11.12,$1.91,5.81
2009-12-31,11.09,$1.86,5.95
