Franco-Nevada Price to Free Cash Flow Ratio Historical Data,Franco-Nevada Price to Free Cash Flow Ratio Historical Data,Franco-Nevada Price to Free Cash Flow Ratio Historical Data,Franco-Nevada Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,127.18,,51.15
2024-06-30,118.18,$2.49,47.53
2024-03-31,118.45,$2.08,56.86
2023-12-31,109.81,$2.44,44.97
2023-09-30,131.87,$2.21,59.64
2023-06-30,140.53,$3.04,46.23
2023-03-31,143.35,$3.81,37.67
2022-12-31,133.85,$4.47,29.94
2022-09-30,116.91,$5.02,23.27
2022-06-30,128.42,$4.87,26.35
2022-03-31,155.33,$2.03,76.58
2021-12-31,134.38,$1.02,132.03
2021-09-30,125.95,$0.23,551.22
2021-06-30,140.36,$-0.42,0.0
2021-03-31,120.98,$1.91,63.48
2020-12-31,120.75,$2.58,46.87
2020-09-30,134.21,$2.95,45.52
2020-06-30,134.04,$1.64,81.77
2020-03-31,95.34,$1.31,73.06
2019-12-31,98.72,$0.92,107.59
2019-09-30,86.9,$-1.04,0.0
2019-06-30,80.7,$0.09,927.55
2019-03-31,71.12,$-0.23,0.0
2018-12-31,66.29,$-2.76,0.0
2018-09-30,58.89,$-1.76,0.0
2018-06-30,68.49,$-2.29,0.0
2018-03-31,63.93,$-2.46,0.0
2017-12-31,74.48,$-0.07,0.0
2017-09-30,71.97,$-0.23,0.0
2017-06-30,66.84,$0.53,125.68
2017-03-31,60.49,$1.10,54.83
2016-12-31,54.98,$-1.57,0.0
2016-09-30,64.04,$-7.43,0.0
2016-06-30,69.49,$-7.41,0.0
2016-03-31,55.9,$-7.59,0.0
2015-12-31,41.52,$-4.89,0.0
2015-09-30,39.78,$-2.60,0.0
2015-06-30,42.85,$-2.73,0.0
2015-03-31,43.46,$-3.36,0.0
2014-12-31,43.86,$-4.28,0.0
2014-09-30,43.42,$-0.11,0.0
2014-03-31,40.41,$0.00,0.0
2013-12-31,35.77,$0.81,44.14
2013-09-30,39.56,$-0.03,0.0
2013-06-30,31.12,$-0.81,0.0
2013-03-31,39.5,$-0.83,0.0
2012-12-31,49.36,$-1.41,0.0
2012-09-30,50.74,$0.59,86.05
2012-06-30,38.8,$2.28,17.05
2012-03-31,36.79,$1.84,20.05
2011-12-31,32.49,$1.92,16.97
2011-09-30,30.7,$0.56,54.97
2011-06-30,31.77,0,0.0
