Pan American Silver Price to Free Cash Flow Ratio Historical Data,Pan American Silver Price to Free Cash Flow Ratio Historical Data,Pan American Silver Price to Free Cash Flow Ratio Historical Data,Pan American Silver Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,22.08,,64.92
2024-06-30,19.79,$0.34,58.18
2024-03-31,14.94,$0.10,150.78
2023-12-31,16.06,$0.23,69.9
2023-09-30,14.14,$-0.80,0.0
2023-06-30,14.24,$-0.88,0.0
2023-03-31,17.68,$-1.12,0.0
2022-12-31,15.77,$-1.11,0.0
2022-09-30,15.23,$-0.01,0.0
2022-06-30,18.73,$0.66,28.59
2022-03-31,25.86,$1.08,24.0
2021-12-31,23.55,$0.92,25.49
2021-09-30,21.87,$1.30,16.76
2021-06-30,26.73,$1.07,24.9
2021-03-31,28.04,$1.09,25.61
2020-12-31,32.16,$1.46,22.08
2020-09-30,29.89,$1.24,24.16
2020-06-30,28.22,$1.03,27.31
2020-03-31,13.28,$1.01,13.12
2019-12-31,21.9,$0.43,51.03
2019-09-30,14.47,$-0.16,0.0
2019-06-30,11.89,$-0.27,0.0
2019-03-31,12.16,$-0.18,0.0
2018-12-31,13.37,$0.17,77.71
2018-09-30,13.48,$0.66,20.41
2018-06-30,16.31,$0.80,20.3
2018-03-31,14.68,$0.55,26.73
2017-12-31,14.12,$0.55,25.77
2017-09-30,15.44,$0.19,80.55
2017-06-30,15.21,$0.35,43.55
2017-03-31,15.82,$0.52,30.44
2016-12-31,13.59,$0.19,72.84
2016-09-30,15.88,$0.05,297.38
2016-06-30,14.82,$-0.29,0.0
2016-03-31,9.78,$-0.53,0.0
2015-12-31,5.84,$-0.38,0.0
2015-09-30,5.67,$-0.37,0.0
2015-06-30,7.61,$-0.32,0.0
2015-03-31,7.73,$-0.18,0.0
2014-12-31,8.01,$-0.05,0.0
2014-09-30,9.44,$0.26,36.82
2014-06-30,13.09,$0.17,75.34
2014-03-31,10.87,$-0.15,0.0
2013-12-31,9.8,$-0.17,0.0
2013-09-30,8.73,$-0.18,0.0
2013-06-30,9.54,$0.08,114.54
2013-03-31,13.29,$0.05,267.45
2012-12-31,15.08,$0.23,66.34
2012-09-30,17.22,$0.88,19.51
2012-06-30,13.52,$1.18,11.42
2012-03-31,17.63,$2.01,8.76
2011-12-31,17.4,$2.22,7.83
2011-09-30,21.34,$1.94,10.97
2011-06-30,24.6,$1.84,13.4
2011-03-31,29.55,$1.54,19.15
2010-12-31,32.77,$1.47,22.29
2010-09-30,23.52,$1.48,15.9
2010-06-30,20.07,$1.39,14.4
2010-03-31,18.38,$1.30,14.14
2009-12-31,18.88,$0.72,26.39
