NAPCO Security Technologies Price to Free Cash Flow Ratio Historical Data,NAPCO Security Technologies Price to Free Cash Flow Ratio Historical Data,NAPCO Security Technologies Price to Free Cash Flow Ratio Historical Data,NAPCO Security Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,41.89,,35.47
2024-06-30,51.78,$1.18,43.84
2024-03-31,39.95,$1.13,35.38
2023-12-31,33.99,$1.07,31.87
2023-09-30,22.02,$0.95,23.28
2023-06-30,34.19,$0.59,58.09
2023-03-31,37.01,$0.26,143.97
2022-12-31,27.07,$0.00,0.0
2022-09-30,28.64,$0.04,653.94
2022-06-30,20.28,$0.19,109.15
2022-03-31,20.21,$0.36,55.79
2021-12-31,24.61,$0.56,44.32
2021-09-30,21.22,$0.58,36.67
2021-06-30,17.91,$0.60,29.99
2021-03-31,17.15,$0.52,32.8
2020-12-31,12.91,$0.37,35.26
2020-09-30,11.57,$0.26,44.62
2020-06-30,11.52,$0.24,49.02
2020-03-31,7.47,$0.21,35.69
2019-12-31,14.47,$0.14,103.46
2019-09-30,12.57,$0.18,69.36
2019-06-30,14.62,$0.18,81.7
2019-03-31,10.21,$0.19,53.87
2018-12-31,7.76,$0.26,30.12
2018-09-30,7.36,$0.22,33.37
2018-06-30,7.21,$0.17,41.25
2018-03-31,5.76,$0.13,44.88
2017-12-31,4.31,$0.02,197.67
2017-09-30,4.78,$0.01,0.0
2017-06-30,4.63,$0.03,168.95
2017-03-31,5.02,$0.08,61.86
2016-12-31,4.19,$0.21,20.17
2016-09-30,3.54,$0.22,16.1
2016-06-30,3.13,$0.22,13.98
2016-03-31,3.08,$0.16,18.99
2015-12-31,2.91,$0.13,23.23
2015-09-30,2.98,$0.08,38.2
2015-06-30,2.82,$0.08,34.29
2015-03-31,2.85,$0.07,41.57
2014-12-31,2.31,$0.04,52.97
2014-09-30,2.31,$0.06,36.17
2014-06-30,2.67,$0.10,26.04
2014-03-31,3.27,$0.14,22.98
2013-12-31,3.09,$0.14,21.87
2013-09-30,2.62,$0.12,21.67
2013-06-30,2.35,$0.05,47.46
2013-03-31,1.97,$0.04,45.39
2012-12-31,1.79,$0.05,35.5
2012-06-30,1.45,$0.09,16.02
2012-03-31,1.54,$0.12,12.61
2011-12-31,1.22,$0.12,10.21
2011-09-30,1.13,$0.14,8.2
2011-06-30,1.46,$0.14,10.5
2012-09-30,1.66,$0.09,19.25
2011-03-31,1.12,$0.06,17.97
2010-12-31,0.87,$0.01,79.52
2010-09-30,0.96,$0.05,17.92
2010-06-30,0.89,$0.13,6.79
2010-03-31,1.13,$0.18,6.33
2009-12-31,0.82,$0.31,2.7
