Core & Main Price to Free Cash Flow Ratio Historical Data,Core & Main Price to Free Cash Flow Ratio Historical Data,Core & Main Price to Free Cash Flow Ratio Historical Data,Core & Main Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,45.95,,9.96
2024-07-31,53.47,$4.61,11.59
2024-04-30,56.47,$4.87,11.59
2024-01-31,41.31,$5.74,7.19
2023-10-31,30.08,$5.14,5.85
2023-04-30,26.06,$2.15,12.13
2023-01-31,22.07,$1.53,14.45
2022-10-31,23.58,$0.41,56.83
2022-07-31,24.14,$0.26,92.6
2022-04-30,23.76,$-2.07,0.0
2022-01-31,24.05,$-0.21,0.0
