Option Care Health Price to Free Cash Flow Ratio Historical Data,Option Care Health Price to Free Cash Flow Ratio Historical Data,Option Care Health Price to Free Cash Flow Ratio Historical Data,Option Care Health Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,30.94,,27.37
2024-06-30,27.7,$1.13,24.5
2024-03-31,33.54,$0.96,34.84
2023-12-31,33.69,$1.85,18.24
2023-09-30,32.35,$1.88,17.23
2023-06-30,32.49,$2.01,16.14
2023-03-31,31.77,$1.67,19.08
2022-12-31,30.09,$1.36,22.19
2022-09-30,31.47,$1.42,22.23
2022-06-30,27.79,$1.24,22.46
2022-03-31,28.56,$1.08,26.56
2021-12-31,28.44,$1.01,28.17
2021-09-30,24.26,$0.80,30.34
2021-06-30,21.87,$0.78,28.16
2021-03-31,17.74,$0.57,31.32
2020-12-31,15.64,$0.56,28.16
2020-09-30,13.37,$0.45,29.66
2020-06-30,13.88,$0.22,62.02
2020-03-31,9.47,$0.08,115.77
2019-12-31,14.92,$0.07,208.38
2019-09-30,12.8,$0.15,86.25
2019-06-30,10.4,$0.94,11.11
2019-03-31,8.0,$0.29,27.48
2018-12-31,14.28,$-0.01,0.0
2018-09-30,12.4,$0.54,23.13
2018-06-30,11.72,$-0.45,0.0
2018-03-31,9.84,$1.91,5.15
2017-12-31,11.64,$1.57,7.41
2017-09-30,11.0,$0.92,12.02
2017-06-30,10.86,$0.41,26.7
2016-12-31,4.16,$-2.06,0.0
2016-09-30,11.56,$-5.49,0.0
2016-06-30,10.2,$-5.86,0.0
2016-03-31,8.56,$-6.60,0.0
2015-12-31,7.0,$-7.15,0.0
2017-03-31,6.8,$-4.90,0.0
2015-09-30,7.48,$-4.60,0.0
2015-06-30,14.52,$-3.45,0.0
2015-03-31,17.72,$-2.69,0.0
2014-12-31,27.96,$-2.64,0.0
2014-09-30,27.64,$-4.05,0.0
2014-06-30,33.36,$-5.16,0.0
2014-03-31,27.92,$-5.52,0.0
2013-12-31,29.6,$-4.97,0.0
2013-09-30,35.12,$-3.65,0.0
2013-06-30,66.0,$-2.15,0.0
2013-03-31,50.84,$-0.07,0.0
2012-12-31,43.08,$1.15,37.33
2012-09-30,36.44,$0.20,180.49
2012-06-30,29.72,$0.18,164.11
2012-03-31,27.16,$-0.80,0.0
2011-12-31,21.84,$1.40,15.57
2011-09-30,25.44,$0.55,46.65
2011-06-30,25.96,$2.25,11.55
2011-03-31,18.68,$2.41,7.77
2010-12-31,20.92,$-2.09,0.0
2010-09-30,20.64,$0.65,31.79
2010-06-30,20.96,$-1.95,0.0
2010-03-31,31.96,$-2.05,0.0
2009-12-31,33.44,$1.65,20.22
