Garrett Motion Price to Free Cash Flow Ratio Historical Data,Garrett Motion Price to Free Cash Flow Ratio Historical Data,Garrett Motion Price to Free Cash Flow Ratio Historical Data,Garrett Motion Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,8.2,,8.82
2024-06-30,8.59,$0.93,9.24
2024-03-31,9.94,$1.24,8.03
2023-12-31,9.67,$2.29,4.22
2023-09-30,7.88,$2.99,2.63
2023-06-30,7.57,$4.52,1.67
2023-03-31,7.66,$4.96,1.55
2022-12-31,7.62,$4.36,1.75
2022-09-30,5.65,$9.24,0.61
2022-06-30,7.73,$2.07,3.73
2022-03-31,7.19,$-0.71,0.0
2021-12-31,8.03,$-1.20,0.0
2021-09-30,7.37,$-5.88,0.0
2021-06-30,7.98,$0.00,0.0
2021-03-31,2.01,$-1.29,0.0
2020-12-31,2.01,$-0.72,0.0
2020-09-30,2.01,$-1.66,0.0
2020-06-30,5.54,$-0.06,0.0
2020-03-31,2.86,$2.39,1.2
2019-12-31,9.99,$1.84,5.42
2019-09-30,9.96,$4.41,2.26
