Global Net Lease Price to Free Cash Flow Ratio Historical Data,Global Net Lease Price to Free Cash Flow Ratio Historical Data,Global Net Lease Price to Free Cash Flow Ratio Historical Data,Global Net Lease Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,8.39,,19.09
2024-06-30,6.87,$0.44,15.62
2024-03-31,6.98,$0.35,19.94
2023-12-31,8.61,$-0.26,0.0
2023-09-30,7.97,$-0.07,0.0
2023-06-30,8.23,$0.41,20.01
2023-03-31,9.95,$0.31,32.11
2022-12-31,9.45,$1.14,8.3
2022-09-30,7.7,$-0.47,0.0
2022-06-30,9.96,$-0.14,0.0
2022-03-31,10.78,$-2.95,0.0
2021-12-31,10.19,$-2.98,0.0
2021-09-30,10.42,$-4.34,0.0
2021-06-30,11.78,$-4.84,0.0
2021-03-31,11.26,$-1.92,0.0
2020-12-31,10.44,$-3.28,0.0
2020-09-30,9.45,$-2.84,0.0
2020-06-30,9.71,$-3.88,0.0
2020-03-31,7.54,$-5.72,0.0
2019-12-31,11.13,$-5.03,0.0
2019-09-30,10.41,$-5.04,0.0
2019-06-30,10.2,$-5.26,0.0
2019-03-31,9.73,$-4.61,0.0
2018-12-31,8.82,$-4.83,0.0
2018-09-30,10.17,$-2.92,0.0
2018-06-30,9.72,$-1.49,0.0
2018-03-31,7.8,$0.06,127.1
2017-12-31,9.24,$0.43,21.27
2017-09-30,9.59,$1.38,6.97
2017-06-30,9.51,$1.52,6.24
2017-03-31,10.06,$1.55,6.5
2016-12-31,9.6,$2.01,4.77
2016-09-30,9.76,$2.29,4.26
2016-06-30,9.31,$-1.12,0.0
2016-03-31,9.82,$-1.76,0.0
