W.P Carey Price to Free Cash Flow Ratio Historical Data,W.P Carey Price to Free Cash Flow Ratio Historical Data,W.P Carey Price to Free Cash Flow Ratio Historical Data,W.P Carey Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,59.3,,8.58
2024-06-30,54.29,$6.91,7.85
2024-03-31,54.79,$4.12,13.3
2023-12-31,61.96,$0.87,71.56
2023-09-30,51.03,$1.05,48.57
2023-06-30,62.53,$-1.28,0.0
2023-03-31,70.57,$0.80,87.84
2022-12-31,70.23,$-0.06,0.0
2022-09-30,61.89,$-1.08,0.0
2022-06-30,72.35,$-0.19,0.0
2022-03-31,69.71,$-2.53,0.0
2021-12-31,69.85,$-1.80,0.0
2021-09-30,61.39,$-1.26,0.0
2021-06-30,61.84,$-1.17,0.0
2021-03-31,57.84,$0.81,71.5
2020-12-31,56.85,$1.74,32.64
2020-09-30,51.71,$1.86,27.86
2020-06-30,52.83,$2.12,24.93
2020-03-31,44.66,$2.14,20.84
2019-12-31,60.49,$1.38,43.75
2019-09-30,66.76,$2.85,23.39
2019-06-30,59.87,$0.96,62.49
2019-03-31,57.04,$1.85,30.89
2018-12-31,46.96,$2.23,21.1
2018-09-30,45.5,$1.70,26.71
2018-03-31,42.52,$4.46,9.54
2017-12-31,46.5,$5.28,8.81
2017-09-30,44.83,$8.74,5.13
2017-06-30,43.26,$3.87,11.17
2017-03-31,40.18,$5.22,7.69
2016-12-31,37.55,$2.57,14.62
2018-06-30,46.21,$-0.11,0.0
2016-09-30,40.32,$3.47,11.63
2016-06-30,42.73,$0.82,52.21
2016-03-31,37.77,$3.32,11.37
2015-12-31,35.25,$-1.57,0.0
2015-09-30,33.99,$-7.32,0.0
2015-06-30,34.08,$-7.94,0.0
2015-03-31,38.7,$-6.57,0.0
2014-12-31,39.34,$-2.58,0.0
2014-09-30,35.32,$5.06,6.99
2014-06-30,35.16,$5.89,5.96
2014-03-31,32.34,$3.20,10.11
2013-12-31,32.54,$1.43,22.73
2013-09-30,34.26,$0.75,45.97
2013-06-30,34.58,$1.13,30.53
2013-03-31,34.79,$2.43,14.31
2012-12-31,26.6,$2.99,8.9
2012-09-30,24.68,$1.75,14.12
2012-06-30,22.88,$1.40,16.3
2012-03-31,22.83,$1.32,17.27
2011-12-31,19.86,$2.08,9.53
2011-09-30,17.44,$1.84,9.48
2011-06-30,19.11,$1.54,12.4
2010-12-31,14.36,$-0.03,0.0
2010-09-30,13.07,$0.70,18.79
2010-06-30,12.26,$0.99,12.36
2010-03-31,12.8,$1.53,8.34
2009-12-31,11.86,$2.48,4.78
2011-03-31,16.61,$0.63,26.18
