Wendy's Price to Free Cash Flow Ratio Historical Data,Wendy's Price to Free Cash Flow Ratio Historical Data,Wendy's Price to Free Cash Flow Ratio Historical Data,Wendy's Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,19.68,,17.02
2024-06-30,16.71,$1.16,14.44
2024-03-31,18.29,$1.38,13.26
2023-12-31,18.66,$1.19,15.63
2023-09-30,19.29,$1.17,16.42
2023-06-30,20.3,$1.00,20.25
2023-03-31,20.1,$0.95,21.27
2022-12-31,20.65,$0.79,26.1
2022-09-30,16.96,$0.55,31.04
2022-06-30,17.02,$0.91,18.77
2022-03-31,19.68,$0.90,21.96
2021-12-31,21.24,$1.19,17.8
2021-09-30,19.19,$1.49,12.84
2021-06-30,20.63,$1.54,13.42
2021-03-31,17.77,$0.35,50.72
2020-12-31,19.13,$0.11,172.53
2020-09-30,19.4,$0.18,110.41
2020-06-30,18.91,$-0.21,0.0
2019-12-31,19.11,$0.93,20.62
2019-09-30,17.1,$1.62,10.57
2019-06-30,16.68,$1.19,14.04
2019-03-31,15.16,$1.12,13.52
2018-12-31,13.15,$1.19,11.09
2020-03-31,12.89,$0.64,20.27
2018-09-30,14.37,$0.98,14.74
2018-06-30,14.34,$0.52,27.7
2018-03-31,14.57,$0.75,19.44
2017-12-31,13.56,$0.62,21.77
2017-09-30,12.76,$0.48,26.6
2017-06-30,12.69,$0.64,19.69
2017-03-31,11.08,$0.23,48.59
2016-12-31,10.96,$0.16,66.72
2016-09-30,8.71,$0.39,22.56
2016-06-30,7.71,$0.44,17.4
2016-03-31,8.68,$0.46,18.99
2015-12-31,8.53,$0.31,27.72
2015-09-30,6.81,$0.38,17.75
2015-06-30,8.83,$0.41,21.77
2015-03-31,8.49,$0.31,27.8
2014-12-31,7.0,$0.31,22.37
2014-09-30,6.36,$0.29,22.14
2014-06-30,6.53,$0.39,16.57
2014-03-31,6.94,$0.55,12.53
2013-12-31,6.6,$0.64,10.33
2013-09-30,6.38,$0.35,18.23
2013-06-30,4.36,$0.23,18.95
2013-03-31,4.22,$0.18,23.37
2012-12-31,3.47,$0.04,98.18
2012-09-30,3.31,$0.00,0.0
2012-06-30,3.44,$0.27,12.52
2012-03-31,3.63,$0.29,12.73
2011-12-31,3.87,$0.50,7.69
2011-09-30,3.3,$0.51,6.5
2011-06-30,3.63,$0.26,13.98
2011-03-31,3.59,$0.24,15.09
2010-12-31,3.28,$0.20,16.7
2010-09-30,3.2,$0.21,15.16
2010-06-30,2.82,$0.33,8.59
2010-03-31,3.51,$0.36,9.7
2009-12-31,3.28,$0.44,7.39
