Freshpet Price to Free Cash Flow Ratio Historical Data,Freshpet Price to Free Cash Flow Ratio Historical Data,Freshpet Price to Free Cash Flow Ratio Historical Data,Freshpet Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,139.29,,0.0
2024-06-30,129.39,$-2.22,0.0
2024-03-31,115.86,$-2.71,0.0
2023-12-31,86.76,$-3.39,0.0
2023-09-30,65.88,$-3.84,0.0
2023-06-30,65.81,$-4.60,0.0
2023-03-31,66.19,$-5.32,0.0
2022-12-31,52.77,$-5.92,0.0
2022-09-30,50.09,$-6.94,0.0
2022-06-30,51.89,$-8.29,0.0
2022-03-31,102.64,$-8.26,0.0
2021-12-31,95.27,$-7.49,0.0
2021-09-30,142.69,$-5.94,0.0
2021-06-30,162.96,$-3.61,0.0
2021-03-31,158.81,$-3.19,0.0
2020-12-31,141.99,$-2.85,0.0
2020-09-30,111.65,$-2.59,0.0
2020-06-30,83.66,$-2.49,0.0
2020-03-31,63.87,$-2.07,0.0
2019-12-31,59.09,$-1.51,0.0
2019-09-30,49.77,$-0.82,0.0
2019-06-30,45.51,$-0.68,0.0
2019-03-31,42.29,$-0.20,0.0
2018-12-31,32.16,$0.07,494.01
2018-09-30,36.7,$-0.03,0.0
2018-06-30,27.45,$-0.03,0.0
2018-03-31,16.45,$-0.19,0.0
2017-12-31,18.95,$-0.08,0.0
2017-09-30,15.65,$-0.12,0.0
2017-06-30,16.6,$-0.39,0.0
2017-03-31,11.0,$-0.54,0.0
2016-12-31,10.15,$-0.74,0.0
2016-09-30,8.65,$-0.92,0.0
2016-03-31,7.33,$-0.97,0.0
2015-12-31,8.49,$-0.75,0.0
2015-09-30,10.5,$-1.82,0.0
2015-06-30,18.6,$-2.21,0.0
