Argan Price to Free Cash Flow Ratio Historical Data,Argan Price to Free Cash Flow Ratio Historical Data,Argan Price to Free Cash Flow Ratio Historical Data,Argan Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,129.1,,10.48
2024-07-31,78.93,$12.32,6.4
2024-04-30,60.03,$9.84,6.1
2024-01-31,43.95,$8.42,5.22
2023-10-31,45.05,$9.76,4.62
2023-07-31,37.21,$4.15,8.97
2023-04-30,39.1,$0.17,232.89
2023-01-31,37.65,$-2.36,0.0
2022-10-31,33.26,$-6.32,0.0
2022-07-31,35.37,$-5.22,0.0
2022-04-30,34.76,$-2.00,0.0
2022-01-31,34.88,$1.70,20.56
2021-10-31,38.48,$4.64,8.29
2021-07-31,41.69,$7.46,5.59
2021-04-30,46.25,$9.52,4.86
2021-01-31,39.68,$11.02,3.6
2020-10-31,36.78,$11.28,3.26
2020-07-31,38.08,$12.99,2.93
2020-04-30,32.44,$7.96,4.07
2020-01-31,36.14,$2.98,12.14
2019-10-31,32.3,$-0.31,0.0
2019-07-31,34.89,$-7.20,0.0
2019-04-30,40.29,$-6.04,0.0
2019-01-31,35.4,$-7.71,0.0
2018-10-31,36.68,$-10.01,0.0
2018-07-31,31.81,$-11.01,0.0
2018-04-30,32.92,$-11.53,0.0
2018-01-31,35.65,$-4.92,0.0
2017-10-31,56.21,$2.99,18.82
2017-07-31,51.92,$11.14,4.66
2017-04-30,53.85,$15.99,3.37
2017-01-31,59.41,$16.40,3.62
2016-10-31,45.79,$12.57,3.64
2016-07-31,36.49,$6.97,5.24
2016-04-30,27.04,$0.72,37.7
2016-01-31,23.83,$-2.41,0.0
2015-10-31,29.23,$-2.87,0.0
2015-07-31,30.16,$-0.81,0.0
2015-04-30,25.06,$3.11,8.07
2015-01-31,23.59,$6.10,3.87
2014-10-31,27.0,$10.57,2.56
2014-07-31,25.71,$12.98,1.98
2014-04-30,20.3,$9.80,2.07
2014-01-31,21.55,$6.74,3.2
2013-10-31,16.88,$0.92,18.41
2013-07-31,11.61,$-1.90,0.0
2013-04-30,12.97,$0.03,400.19
2013-01-31,13.77,$1.67,8.25
2012-10-31,13.03,$4.42,2.95
2012-07-31,11.19,$6.17,1.81
2012-04-30,10.32,$7.34,1.41
2012-01-31,10.26,$5.58,1.84
2011-10-31,9.62,$4.31,2.23
2011-07-31,7.09,$2.41,2.94
2011-04-30,6.42,$1.13,5.69
2011-01-31,6.34,$1.38,4.61
2010-10-31,5.79,$1.42,4.08
2010-07-31,5.69,$1.14,4.98
2010-04-30,7.76,$0.07,108.59
2010-01-31,9.71,$-0.94,0.0
2009-10-31,8.44,$-2.42,0.0
