AAR Price to Free Cash Flow Ratio Historical Data,AAR Price to Free Cash Flow Ratio Historical Data,AAR Price to Free Cash Flow Ratio Historical Data,AAR Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,62.4,,0.0
2024-08-31,65.78,$-0.35,0.0
2024-05-31,70.99,$1.50,47.35
2024-02-29,66.78,$1.24,54.0
2023-08-31,61.6,$-0.97,0.0
2023-05-31,50.11,$-0.18,0.0
2023-02-28,54.39,$-0.05,0.0
2022-11-30,46.56,$0.29,160.5
2022-08-31,42.88,$1.81,23.64
2022-05-31,48.22,$2.39,20.2
2021-11-30,32.66,$1.54,21.26
2021-08-31,33.85,$1.66,20.36
2021-05-31,41.75,$2.66,15.69
2021-02-28,39.78,$1.15,34.48
2020-11-30,28.37,$0.80,35.59
2020-08-31,20.18,$0.37,55.18
2020-05-31,20.17,$-1.71,0.0
2020-02-29,34.41,$1.16,29.68
2019-11-30,44.43,$0.28,158.57
2019-08-31,42.63,$1.62,26.3
2019-05-31,29.81,$2.32,12.84
2023-11-30,69.3,$-0.50,0.0
2019-02-28,36.11,$1.15,31.35
2018-11-30,43.1,$0.08,547.63
2018-08-31,45.96,$1.25,36.8
2018-05-31,43.94,$1.81,24.25
2018-02-28,41.79,$0.73,57.39
2017-05-31,34.1,$-0.10,0.0
2017-02-28,33.52,$-2.05,0.0
2016-11-30,35.84,$1.75,20.46
2016-08-31,23.85,$0.81,29.43
2016-05-31,23.59,$2.01,11.73
2022-02-28,44.94,$0.90,49.82
2016-02-29,20.51,$-4.45,0.0
2015-11-30,23.58,$-2.83,0.0
2015-08-31,23.28,$-4.82,0.0
2015-05-31,28.18,$-2.34,0.0
2015-02-28,27.98,$-0.28,0.0
2017-11-30,40.74,$0.91,44.91
2014-11-30,24.33,$2.10,11.57
2014-08-31,26.21,$3.99,6.57
2014-05-31,22.93,$3.04,7.54
2014-02-28,27.2,$1.98,13.77
2013-11-30,29.3,$3.10,9.44
2017-08-31,35.26,$1.57,22.4
2013-08-31,23.48,$2.81,8.36
2013-05-31,18.72,$3.09,6.07
2013-02-28,16.33,$2.97,5.5
2012-11-30,14.22,$2.51,5.66
2012-08-31,13.71,$2.42,5.66
2012-05-31,11.04,$0.07,158.69
2012-02-29,20.11,$-0.90,0.0
2011-11-30,16.6,$-0.85,0.0
2011-08-31,21.35,$-1.23,0.0
2011-05-31,23.83,$-0.37,0.0
2011-02-28,24.57,$0.66,37.41
2010-11-30,22.11,$1.18,18.71
2010-08-31,13.83,$1.59,8.68
2010-05-31,17.73,$2.88,6.15
2010-02-28,20.42,$3.31,6.16
2009-11-30,16.8,$1.87,8.99
