Grindr Price to Free Cash Flow Ratio Historical Data,Grindr Price to Free Cash Flow Ratio Historical Data,Grindr Price to Free Cash Flow Ratio Historical Data,Grindr Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,12.33,,40.6
2024-06-30,12.24,$0.30,40.3
2024-03-31,10.13,$0.25,40.06
2023-12-31,8.78,$0.18,47.9
2023-09-30,5.75,$0.18,31.27
2023-06-30,5.53,$0.19,29.37
2023-03-31,6.22,$0.24,25.78
2022-12-31,4.65,$0.28,16.43
2022-09-30,10.38,$0.53,19.76
2022-06-30,10.27,$0.41,25.01
2022-03-31,10.25,$0.30,34.57
2021-12-31,10.13,$0.20,50.56
