Teladoc Health Price to Free Cash Flow Ratio Historical Data,Teladoc Health Price to Free Cash Flow Ratio Historical Data,Teladoc Health Price to Free Cash Flow Ratio Historical Data,Teladoc Health Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,9.51,,8.04
2024-06-30,9.78,$1.18,8.27
2024-03-31,15.1,$1.22,12.4
2023-12-31,21.55,$1.18,18.31
2023-09-30,18.59,$0.68,27.4
2023-06-30,25.32,$0.39,64.79
2023-03-31,25.9,$0.29,88.43
2022-12-31,23.65,$0.10,230.96
2022-09-30,25.35,$0.42,60.19
2022-06-30,33.21,$0.68,48.62
2022-03-31,72.13,$0.64,111.92
2021-12-31,91.82,$0.83,110.8
2021-09-30,126.81,$-0.97,0.0
2021-06-30,166.29,$-1.10,0.0
2021-03-31,181.75,$-0.96,0.0
2020-12-31,199.96,$-0.88,0.0
2020-09-30,219.24,$0.73,299.59
2020-06-30,190.84,$0.62,306.13
2020-03-31,155.01,$0.27,568.84
2019-12-31,83.72,$0.26,317.12
2019-09-30,67.72,$0.05,1390.55
2019-06-30,66.41,$0.04,1499.1
2019-03-31,55.6,$-0.01,0.0
2018-12-31,49.57,$-0.12,0.0
2018-09-30,86.35,$-0.29,0.0
2018-06-30,58.05,$-0.65,0.0
2018-03-31,40.3,$-0.71,0.0
2017-12-31,34.85,$-0.72,0.0
2017-09-30,33.15,$-0.84,0.0
2017-06-30,34.7,$-0.83,0.0
2017-03-31,25.0,$-1.10,0.0
2016-12-31,16.5,$-1.31,0.0
2016-09-30,18.31,$-2.63,0.0
2016-06-30,16.02,$-3.55,0.0
