Stericycle Price to Free Cash Flow Ratio Historical Data,Stericycle Price to Free Cash Flow Ratio Historical Data,Stericycle Price to Free Cash Flow Ratio Historical Data,Stericycle Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,60.89,,0.0
2024-06-30,58.13,$-0.74,0.0
2024-03-31,52.75,$0.02,2476.53
2023-12-31,49.56,$1.21,40.89
2023-09-30,44.71,$2.40,18.65
2023-06-30,46.44,$2.55,18.2
2023-03-31,43.61,$0.88,49.72
2022-12-31,49.89,$1.50,33.31
2022-09-30,42.11,$0.37,114.03
2022-03-31,58.92,$0.79,74.87
2021-12-31,59.64,$2.03,29.4
2021-09-30,67.97,$5.29,12.85
2021-06-30,71.55,$5.47,13.09
2021-03-31,67.51,$5.05,13.36
2020-12-31,69.33,$5.49,12.63
2020-03-31,48.58,$1.39,35.04
2019-12-31,63.81,$0.59,107.93
2019-09-30,50.93,$-0.61,0.0
2019-06-30,47.75,$0.07,658.62
2019-03-31,54.42,$-1.88,0.0
2018-12-31,36.69,$-0.55,0.0
2020-06-30,55.98,$1.45,38.56
2018-09-30,58.68,$0.68,86.02
2018-06-30,65.29,$4.16,15.71
2018-03-31,58.53,$3.65,16.05
2017-12-31,67.99,$4.27,15.92
2017-09-30,71.62,$4.75,15.07
2017-06-30,76.32,$4.93,15.49
2017-03-31,82.89,$3.39,24.43
2016-12-31,77.04,$2.40,32.14
2016-09-30,80.14,$2.19,36.63
2016-06-30,104.12,$0.81,128.99
2015-12-31,120.6,$3.15,38.32
2015-09-30,139.25,$5.32,26.17
2015-06-30,133.91,$5.73,23.38
2015-03-31,140.43,$6.46,21.75
2014-12-31,131.08,$5.94,22.07
2016-03-31,126.19,$4.68,26.99
2014-09-30,116.56,$3.81,30.56
2014-06-30,118.42,$4.48,26.45
2014-03-31,113.62,$4.36,26.05
2013-12-31,116.17,$3.80,30.56
2013-09-30,115.4,$4.38,26.33
2013-06-30,110.43,$3.54,31.15
2013-03-31,106.18,$3.72,28.53
2012-12-31,93.28,$3.74,24.93
2012-09-30,90.48,$3.44,26.33
2012-06-30,91.67,$3.59,25.56
2012-03-31,83.64,$3.23,25.89
2011-12-31,77.92,$2.89,26.93
2011-09-30,80.72,$3.28,24.58
2011-06-30,89.12,$3.08,28.95
2011-03-31,88.67,$3.02,29.39
2010-12-31,80.92,$3.19,25.37
2010-09-30,69.48,$2.56,27.17
2010-06-30,65.58,$2.69,24.36
2010-03-31,54.5,$2.74,19.89
2009-12-31,55.17,$2.74,20.16
2009-09-30,48.44,$-1.79,0.0
2009-06-30,51.53,$0.29,178.74
