Granite Construction Price to Free Cash Flow Ratio Historical Data,Granite Construction Price to Free Cash Flow Ratio Historical Data,Granite Construction Price to Free Cash Flow Ratio Historical Data,Granite Construction Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,81.85,,16.16
2024-06-30,61.87,$5.07,12.21
2024-03-31,56.92,$4.09,13.9
2023-12-31,50.56,$1.55,32.63
2023-09-30,37.7,$-0.12,0.0
2023-06-30,39.31,$-4.69,0.0
2023-03-31,40.46,$-4.73,0.0
2022-12-31,34.43,$-0.76,0.0
2022-09-30,24.84,$-2.24,0.0
2022-06-30,28.36,$0.71,39.98
2022-03-31,31.78,$1.36,23.31
2021-12-31,37.35,$0.46,81.09
2021-09-30,38.04,$3.48,10.93
2021-06-30,39.82,$4.30,9.25
2021-03-31,38.47,$5.52,6.96
2020-12-31,25.44,$4.21,6.05
2020-09-30,16.69,$4.29,3.89
2020-06-30,18.01,$3.18,5.66
2020-03-31,14.19,$1.36,10.42
2019-12-31,25.62,$0.90,28.6
2019-09-30,29.61,$-0.63,0.0
2019-06-30,44.22,$-0.52,0.0
2019-03-31,39.49,$-0.16,0.0
2018-12-31,36.76,$-0.19,0.0
2018-09-30,41.57,$0.58,71.36
2018-06-30,50.48,$-0.16,0.0
2018-03-31,50.54,$1.05,48.26
2017-12-31,57.25,$2.20,26.06
2017-09-30,52.2,$2.22,23.51
2017-06-30,43.36,$2.04,21.22
2017-03-31,44.99,$0.57,78.82
2016-12-31,49.17,$-0.12,0.0
2016-09-30,44.36,$-0.35,0.0
2016-06-30,40.52,$0.21,194.43
2016-03-31,42.39,$0.38,112.64
2015-12-31,37.95,$0.90,42.08
2015-09-30,26.16,$1.75,14.96
2015-06-30,31.17,$1.11,27.98
2015-03-31,30.74,$1.11,27.73
2014-12-31,33.13,$0.71,46.55
2014-09-30,27.63,$-0.21,0.0
2014-06-30,31.12,$-0.93,0.0
2014-03-31,34.41,$0.52,65.86
2013-12-31,30.05,$-0.32,0.0
2013-09-30,26.19,$0.28,95.02
2013-06-30,25.36,$1.93,13.15
2013-03-31,27.02,$1.45,18.7
2012-12-31,28.41,$2.27,12.53
2012-09-30,24.17,$2.35,10.29
2012-06-30,21.88,$1.60,13.64
2012-03-31,23.95,$1.36,17.57
2011-12-31,19.68,$1.96,10.06
2011-09-30,15.49,$0.09,170.75
2011-06-30,20.1,$0.76,26.41
2011-03-31,22.91,$1.07,21.37
2010-12-31,22.26,$0.36,62.54
2010-09-30,18.36,$0.13,146.1
2010-06-30,18.93,$0.14,133.25
2010-03-31,24.14,$0.17,146.31
2009-12-31,26.78,$-0.01,0.0
