Bank Of N.T Butterfield & Son Price to Free Cash Flow Ratio Historical Data,Bank Of N.T Butterfield & Son Price to Free Cash Flow Ratio Historical Data,Bank Of N.T Butterfield & Son Price to Free Cash Flow Ratio Historical Data,Bank Of N.T Butterfield & Son Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,39.2,,7.59
2024-06-30,34.67,$5.16,6.72
2024-03-31,31.19,$4.73,6.6
2023-12-31,30.76,$5.56,5.53
2023-09-30,25.6,$4.69,5.45
2023-06-30,25.48,$4.87,5.23
2023-03-31,24.7,$4.20,5.88
2022-12-31,26.94,$3.90,6.91
2022-09-30,28.94,$3.85,7.51
2022-06-30,27.44,$4.83,5.68
2022-03-31,31.11,$4.93,6.31
2021-12-31,32.67,$4.81,6.79
2021-09-30,30.1,$4.17,7.22
2021-06-30,29.67,$4.08,7.27
2021-03-31,31.62,$4.40,7.18
2020-12-31,25.46,$3.30,7.72
2020-09-30,17.96,$1.56,11.49
2020-06-30,19.32,$3.51,5.51
2020-03-31,13.19,$3.39,3.89
2019-12-31,28.26,$4.23,6.68
2019-09-30,22.33,$6.72,3.33
2019-06-30,25.2,$4.37,5.76
2019-03-31,26.34,$4.26,6.19
2018-12-31,22.77,$5.09,4.47
2018-09-30,37.32,$5.18,7.2
2018-06-30,32.65,$5.60,5.83
2018-03-31,31.8,$5.61,5.66
2017-12-31,25.51,$4.62,5.53
2016-09-30,16.71,$3.74,4.47
2017-03-31,21.82,$4.43,4.93
