Geron Price to Free Cash Flow Ratio Historical Data,Geron Price to Free Cash Flow Ratio Historical Data,Geron Price to Free Cash Flow Ratio Historical Data,Geron Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,4.06,,0.0
2024-06-30,4.24,$-0.33,0.0
2024-03-31,3.3,$-0.31,0.0
2023-12-31,2.11,$-0.30,0.0
2023-09-30,2.12,$-0.33,0.0
2023-06-30,3.21,$-0.32,0.0
2023-03-31,2.17,$-0.32,0.0
2022-12-31,2.42,$-0.34,0.0
2022-09-30,2.34,$-0.30,0.0
2022-06-30,1.55,$-0.29,0.0
2022-03-31,1.36,$-0.29,0.0
2021-12-31,1.22,$-0.29,0.0
2021-09-30,1.37,$-0.30,0.0
2021-06-30,1.41,$-0.24,0.0
2021-03-31,1.58,$-0.22,0.0
2020-12-31,1.59,$-0.25,0.0
2020-09-30,1.74,$-0.22,0.0
2020-06-30,2.18,$-0.28,0.0
2020-03-31,1.19,$-0.30,0.0
2019-12-31,1.36,$-0.23,0.0
2019-09-30,1.33,$-0.20,0.0
2019-06-30,1.41,$-0.17,0.0
2019-03-31,1.66,$-0.14,0.0
2018-12-31,1.0,$-0.12,0.0
2018-09-30,1.76,$-0.13,0.0
2018-06-30,3.43,$-0.12,0.0
2018-03-31,4.25,$-0.13,0.0
2017-12-31,1.8,$-0.13,0.0
2017-09-30,2.18,$-0.11,0.0
2017-06-30,2.77,$-0.12,0.0
2017-03-31,2.27,$-0.13,0.0
2016-12-31,2.07,$-0.12,0.0
2016-09-30,2.26,$-0.14,0.0
2016-06-30,2.68,$-0.13,0.0
2016-03-31,2.92,$-0.14,0.0
2015-12-31,4.84,$-0.15,0.0
2015-09-30,2.77,$0.07,42.41
2015-06-30,4.28,$0.06,66.15
2015-03-31,3.77,$0.08,48.77
2014-12-31,3.25,$0.06,54.17
2014-09-30,2.0,$-0.17,0.0
2014-06-30,3.04,$-0.18,0.0
2014-03-31,1.98,$-0.22,0.0
2013-12-31,4.49,$-0.28,0.0
2013-09-30,3.17,$-0.31,0.0
2013-06-30,1.42,$-0.39,0.0
2013-03-31,1.01,$-0.43,0.0
2012-12-31,1.34,$-0.44,0.0
2012-09-30,1.62,$-0.53,0.0
2012-06-30,1.62,$-0.53,0.0
2012-03-31,1.61,$-0.53,0.0
2011-12-31,1.4,$-0.51,0.0
2011-09-30,2.01,$-0.50,0.0
2011-06-30,3.8,$-0.48,0.0
2011-03-31,4.78,$-0.46,0.0
2010-12-31,4.91,$-0.46,0.0
2010-09-30,5.24,$-0.43,0.0
2010-06-30,4.76,$-0.47,0.0
2010-03-31,5.38,$-0.49,0.0
2009-12-31,5.26,$-0.51,0.0
