Tronox Holdings Price to Free Cash Flow Ratio Historical Data,Tronox Holdings Price to Free Cash Flow Ratio Historical Data,Tronox Holdings Price to Free Cash Flow Ratio Historical Data,Tronox Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,14.57,,191.96
2024-06-30,15.55,$0.08,204.94
2024-03-31,17.09,$-0.02,0.0
2023-12-31,13.83,$-0.45,0.0
2023-09-30,12.98,$0.07,190.38
2023-06-30,12.17,$0.48,25.16
2023-03-31,13.61,$-0.47,0.0
2022-12-31,12.88,$1.16,11.06
2022-09-30,11.4,$0.65,17.64
2022-06-30,15.52,$1.67,9.31
2022-03-31,18.15,$3.01,6.02
2021-12-31,21.89,$2.98,7.36
2021-09-30,22.37,$3.55,6.31
2021-06-30,20.21,$2.60,7.77
2021-03-31,16.46,$2.06,7.97
2020-12-31,13.09,$1.10,11.86
2020-09-30,7.0,$1.03,6.77
2020-06-30,6.38,$1.12,5.72
2020-03-31,4.34,$0.96,4.54
2019-12-31,9.86,$1.53,6.45
2019-09-30,7.14,$0.64,11.19
2019-06-30,10.93,$0.97,11.32
2019-03-31,11.2,$0.81,13.9
2018-12-31,6.6,$0.43,15.3
2018-09-30,10.1,$0.83,12.09
2018-06-30,16.58,$0.39,42.55
2018-03-31,15.5,$0.51,30.28
2017-12-31,17.2,$0.62,27.77
2017-09-30,17.66,$0.64,27.67
2017-06-30,12.63,$-0.10,0.0
2017-03-31,15.37,$0.10,146.63
2016-12-31,8.57,$-0.02,0.0
2016-09-30,7.75,$-0.41,0.0
2016-06-30,3.63,$-0.04,0.0
2016-03-31,5.21,$-0.28,0.0
2015-12-31,3.05,$-0.85,0.0
2015-09-30,3.24,$-1.08,0.0
2015-06-30,10.55,$-0.81,0.0
2015-03-31,14.46,$-0.86,0.0
2014-12-31,16.78,$-0.40,0.0
2014-09-30,18.11,$0.37,48.66
2014-06-30,18.54,$1.17,15.79
2014-03-31,16.21,$1.48,10.94
2013-12-31,15.57,$1.45,10.7
2013-09-30,16.33,$0.65,25.08
2013-06-30,13.3,$0.67,19.81
2013-03-31,12.93,$-0.22,0.0
2012-12-31,11.77,$-0.41,0.0
2012-09-30,14.37,$0.96,14.97
2012-06-30,15.14,$1.07,14.17
2012-03-31,21.85,$-0.88,0.0
2011-12-31,15.05,$-1.33,0.0
2011-09-30,9.78,$-1.65,0.0
