Arlo Technologies Price to Free Cash Flow Ratio Historical Data,Arlo Technologies Price to Free Cash Flow Ratio Historical Data,Arlo Technologies Price to Free Cash Flow Ratio Historical Data,Arlo Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,11.84,,28.39
2024-06-30,13.04,$0.42,31.26
2024-03-31,12.65,$0.48,26.39
2023-12-31,9.52,$0.38,24.91
2023-09-30,10.3,$0.15,68.71
2023-06-30,10.91,$0.02,545.5
2023-03-31,6.06,$-0.15,0.0
2022-12-31,3.51,$-0.55,0.0
2022-09-30,4.64,$-0.30,0.0
2022-06-30,6.27,$-0.35,0.0
2022-03-31,8.86,$-0.21,0.0
2021-12-31,10.49,$-0.31,0.0
2021-09-30,6.41,$-0.28,0.0
2021-06-30,6.77,$-0.30,0.0
2021-03-31,6.28,$-0.38,0.0
2020-12-31,7.79,$-0.65,0.0
2020-09-30,5.26,$-0.11,0.0
2020-06-30,2.58,$0.22,11.74
2020-03-31,2.43,$-0.35,0.0
2019-12-31,4.21,$0.03,126.05
2019-09-30,3.41,$-0.40,0.0
2019-06-30,4.01,$-1.41,0.0
