Live Nation Entertainment Price to Free Cash Flow Ratio Historical Data,Live Nation Entertainment Price to Free Cash Flow Ratio Historical Data,Live Nation Entertainment Price to Free Cash Flow Ratio Historical Data,Live Nation Entertainment Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,97.67,,39.63
2024-06-30,93.74,$2.46,38.04
2024-03-31,105.77,$3.21,32.98
2023-12-31,93.6,$4.04,23.19
2023-09-30,83.04,$5.32,15.6
2023-06-30,91.11,$6.52,13.97
2023-03-31,70.0,$5.85,11.97
2022-12-31,69.74,$6.41,10.88
2022-09-30,76.04,$6.34,11.98
2022-06-30,82.58,$8.16,10.12
2022-03-31,117.64,$12.38,9.5
2021-12-31,119.69,$7.49,15.97
2021-09-30,91.13,$3.38,26.93
2021-06-30,87.59,$1.56,56.1
2021-03-31,84.65,$-8.47,0.0
2020-12-31,73.48,$-6.11,0.0
2020-09-30,53.88,$-3.80,0.0
2020-06-30,44.33,$-2.54,0.0
2020-03-31,45.46,$1.32,34.53
2019-12-31,71.47,$0.70,102.69
2019-09-30,66.34,$2.08,31.92
2019-06-30,66.25,$2.15,30.82
2019-03-31,63.54,$1.82,34.88
2018-12-31,49.25,$3.38,14.56
2018-09-30,54.47,$1.26,43.39
2018-06-30,48.57,$0.67,72.84
2018-03-31,42.14,$1.96,21.47
2017-12-31,42.57,$1.88,22.65
2017-09-30,43.55,$3.15,13.82
2017-06-30,34.85,$3.19,10.92
2017-03-31,30.37,$3.14,9.67
2016-12-31,26.6,$2.10,12.65
2016-09-30,27.48,$1.36,20.2
2016-06-30,23.5,$1.48,15.87
2016-03-31,22.31,$1.65,13.56
2015-12-31,24.57,$0.82,29.86
2015-09-30,24.04,$0.70,34.27
2015-06-30,27.49,$0.85,32.3
2015-03-31,25.23,$0.63,40.14
2014-12-31,26.11,$0.77,34.03
2014-09-30,24.02,$0.26,92.42
2014-06-30,24.69,$1.32,18.76
2014-03-31,21.75,$1.96,11.09
2013-12-31,19.76,$1.53,12.92
2013-09-30,18.55,$2.12,8.77
2013-06-30,15.5,$1.54,10.08
2013-03-31,12.37,$1.33,9.31
2012-12-31,9.31,$1.30,7.15
2012-09-30,8.61,$0.65,13.2
2012-06-30,9.18,$0.98,9.37
2012-03-31,9.4,$0.80,11.71
2011-12-31,8.31,$0.15,53.75
2011-09-30,8.01,$0.20,41.03
2011-06-30,11.47,$0.17,66.26
2011-03-31,10.0,$0.60,16.57
2010-12-31,11.42,$0.50,22.64
2010-09-30,9.88,$-0.51,0.0
2010-06-30,10.45,$-2.86,0.0
2010-03-31,14.5,$-1.80,0.0
2009-12-31,8.51,$-0.08,0.0
