Kirby Price to Free Cash Flow Ratio Historical Data,Kirby Price to Free Cash Flow Ratio Historical Data,Kirby Price to Free Cash Flow Ratio Historical Data,Kirby Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,124.08,,30.44
2024-06-30,119.73,$4.08,29.38
2024-03-31,95.32,$4.32,22.08
2023-12-31,78.48,$2.75,28.54
2023-09-30,82.8,$2.77,29.88
2023-06-30,76.95,$3.30,23.35
2023-03-31,69.7,$1.87,37.36
2022-12-31,64.35,$2.63,24.5
2022-09-30,60.77,$1.79,33.99
2022-06-30,60.84,$2.21,27.57
2022-03-31,72.19,$3.06,23.62
2021-12-31,59.42,$4.58,12.98
2021-09-30,47.96,$4.87,9.85
2021-06-30,60.64,$5.40,11.24
2021-03-31,60.28,$6.34,9.5
2020-12-31,51.83,$5.24,9.89
2020-09-30,36.17,$5.81,6.23
2020-06-30,53.56,$6.84,7.83
2020-03-31,43.47,$6.11,7.11
2019-12-31,89.53,$5.36,16.69
2019-09-30,82.16,$4.37,18.82
2019-06-30,79.0,$2.65,29.82
2019-03-31,75.11,$1.65,45.64
2018-12-31,67.36,$1.65,40.91
2018-09-30,82.25,$1.56,52.7
2018-06-30,83.6,$1.31,63.91
2018-03-31,76.95,$2.07,37.12
2017-12-31,66.8,$3.18,20.99
2017-09-30,65.95,$2.94,22.42
2017-06-30,66.85,$3.81,17.55
2017-03-31,70.55,$3.36,20.98
2016-12-31,66.5,$3.80,17.5
2016-09-30,62.16,$4.36,14.26
2016-06-30,62.39,$4.13,15.09
2016-03-31,60.29,$4.33,13.94
2015-12-31,52.62,$3.26,16.13
2015-09-30,61.95,$2.11,29.36
2015-06-30,76.66,$1.11,68.91
2015-03-31,75.05,$0.83,90.26
2014-12-31,80.74,$1.66,48.76
2014-09-30,117.85,$3.45,34.16
2014-06-30,117.14,$5.91,19.82
2014-03-31,101.25,$6.61,15.32
2013-12-31,99.25,$6.15,16.14
2013-09-30,86.55,$4.72,18.32
2013-06-30,79.54,$2.34,33.96
2013-03-31,76.8,$0.51,150.94
2012-12-31,61.89,$0.24,254.06
2012-09-30,55.28,$0.46,119.86
2012-06-30,47.08,$0.89,52.63
2012-03-31,65.79,$1.17,56.18
2011-12-31,65.84,$1.58,41.78
2011-09-30,52.64,$1.81,29.05
2011-06-30,56.67,$1.74,32.57
2011-03-31,57.29,$2.23,25.75
2010-12-31,44.05,$2.03,21.73
2010-09-30,40.06,$2.15,18.61
2010-06-30,38.25,$2.39,16.01
2010-03-31,38.15,$2.49,15.33
2009-12-31,34.83,$2.39,14.6
