VEON Price to Free Cash Flow Ratio Historical Data,VEON Price to Free Cash Flow Ratio Historical Data,VEON Price to Free Cash Flow Ratio Historical Data,VEON Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,29.82,,0.0
2024-06-30,25.94,$-7.73,0.0
2024-03-31,24.01,$-4.15,0.0
2023-12-31,19.7,0,0.0
2023-09-30,19.5,$26.48,0.74
2023-06-30,20.44,$31.68,0.65
2023-03-31,17.72,$29.37,0.6
2022-12-31,12.25,$27.30,0.45
2022-09-30,8.0,$34.83,0.23
2022-06-30,11.5,$30.99,0.37
2022-03-31,17.07,$31.09,0.55
2021-12-31,42.75,$27.53,1.55
2021-09-30,52.0,$10.86,4.79
2021-06-30,45.75,$11.16,4.1
2021-03-31,44.25,$9.27,4.77
2020-12-31,37.75,$10.95,3.45
2020-09-30,31.5,$11.95,2.64
2020-06-30,45.0,$10.58,4.25
2020-03-31,37.75,$14.32,2.64
2019-12-31,59.21,$18.10,3.27
2019-09-30,56.17,$18.26,3.08
2019-06-30,62.51,$16.92,3.7
2019-03-31,46.66,$13.99,3.33
2018-12-31,48.74,$8.10,6.01
2018-09-30,60.41,$4.94,12.22
2018-06-30,47.43,$8.41,5.64
2018-03-31,52.61,$6.72,7.83
2017-12-31,72.25,$6.38,11.33
2017-09-30,78.64,$5.45,14.44
2017-06-30,71.58,$7.00,10.23
2017-03-31,74.69,$13.24,5.64
2016-12-31,67.14,$3.42,19.65
2016-09-30,60.05,$9.03,6.65
2016-06-30,66.95,$-6.08,0.0
2016-03-31,73.51,$-12.05,0.0
2015-12-31,56.6,$-2.23,0.0
2015-09-30,70.33,$1.01,69.32
2015-06-30,84.95,$26.29,3.23
2015-03-31,89.56,$24.68,3.63
2014-12-31,71.36,$24.63,2.9
2014-09-30,122.66,$51.95,2.36
2014-06-30,142.71,$-5.72,0.0
2014-03-31,153.42,$28.47,5.39
2013-12-31,219.84,$34.80,6.32
2013-09-30,192.67,$18.02,10.7
2013-06-30,164.96,$72.72,2.27
2013-03-31,177.43,$46.81,3.79
2012-12-31,156.54,$52.20,3.0
2012-09-30,165.06,$36.01,4.58
2012-06-30,112.49,$33.89,3.32
2012-03-31,147.93,$31.77,4.66
2011-12-31,125.53,$30.42,4.13
2011-09-30,121.52,$23.53,5.16
2011-06-30,162.7,$22.43,7.25
2011-03-31,178.11,$34.11,5.22
2010-12-31,187.16,$36.58,5.12
2010-09-30,179.44,$50.94,3.52
2010-06-30,195.51,$96.22,2.03
2010-03-31,222.45,$79.99,2.78
2009-12-31,224.63,$67.20,3.34
