Hexcel Price to Free Cash Flow Ratio Historical Data,Hexcel Price to Free Cash Flow Ratio Historical Data,Hexcel Price to Free Cash Flow Ratio Historical Data,Hexcel Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,62.25,,28.15
2024-06-30,62.3,$2.21,28.18
2024-03-31,72.51,$1.93,37.64
2023-12-31,73.26,$1.86,39.34
2023-09-30,64.58,$1.33,48.74
2023-06-30,75.23,$0.85,88.79
2023-03-31,67.42,$1.37,49.11
2022-12-31,58.03,$1.39,41.8
2022-09-30,50.91,$1.11,45.89
2022-06-30,51.4,$1.13,45.43
2022-03-31,58.34,$1.07,54.73
2021-12-31,50.72,$1.46,34.66
2021-09-30,58.15,$1.82,31.87
2021-06-30,61.1,$2.50,24.46
2021-03-31,54.83,$2.69,20.37
2020-12-31,47.48,$2.54,18.66
2020-09-30,32.85,$3.31,9.91
2020-06-30,44.28,$3.07,14.42
2020-03-31,36.42,$3.30,11.03
2019-12-31,71.62,$3.35,21.41
2019-09-30,80.06,$2.54,31.49
2019-06-30,78.67,$2.72,28.89
2019-03-31,67.13,$0.85,78.89
2018-12-31,55.54,$1.71,32.43
2018-09-30,64.78,$1.31,49.39
2018-06-30,63.99,$0.95,67.22
2017-12-31,59.4,$1.64,36.25
2017-09-30,55.03,$1.70,32.36
2017-06-30,50.47,$0.92,54.63
2017-03-31,52.04,$1.25,41.6
2016-12-31,48.97,$2.16,22.7
2018-03-31,62.15,$0.62,100.48
2016-09-30,42.07,$1.41,29.76
2016-06-30,39.45,$0.92,43.1
2016-03-31,41.31,$0.28,145.9
2015-12-31,43.79,$-0.04,0.0
2015-09-30,42.2,$-0.26,0.0
2015-06-30,46.7,$-0.51,0.0
2015-03-31,48.18,$-0.32,0.0
2014-12-31,38.79,$0.59,66.12
2014-09-30,37.11,$0.12,309.53
2014-06-30,38.23,$0.52,74.21
2014-03-31,40.7,$0.70,58.55
2013-12-31,41.78,$0.76,54.68
2013-09-30,36.27,$0.88,41.1
2013-06-30,31.83,$0.54,58.47
2013-03-31,27.12,$0.14,188.2
2012-12-31,25.2,$-0.31,0.0
2012-09-30,22.45,$-0.56,0.0
2012-06-30,24.11,$-0.66,0.0
2012-03-31,22.45,$-1.25,0.0
2011-12-31,22.63,$-0.25,0.0
2011-09-30,20.72,$-0.00,0.0
2011-06-30,20.46,$0.19,106.41
2010-12-31,16.91,$0.78,21.74
2010-09-30,16.63,$1.32,12.57
2010-06-30,14.5,$0.87,16.59
2010-03-31,13.5,$1.02,13.17
2009-12-31,12.13,$1.61,7.56
2011-03-31,18.41,$0.40,45.9
