Akero Therapeutics Price to Free Cash Flow Ratio Historical Data,Akero Therapeutics Price to Free Cash Flow Ratio Historical Data,Akero Therapeutics Price to Free Cash Flow Ratio Historical Data,Akero Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,30.82,,0.0
2024-06-30,23.46,$-4.10,0.0
2024-03-31,25.26,$-4.00,0.0
2023-12-31,23.35,$-3.94,0.0
2023-03-31,38.26,$-2.24,0.0
2022-12-31,54.8,$-2.37,0.0
2022-09-30,34.05,$-3.49,0.0
2022-06-30,9.45,$-3.49,0.0
2022-03-31,14.19,$-3.80,0.0
2021-12-31,21.15,$-3.36,0.0
2021-03-31,29.01,$-2.39,0.0
2020-12-31,25.8,$-2.26,0.0
2020-09-30,30.79,$-2.86,0.0
2020-06-30,24.92,$-2.03,0.0
2020-03-31,21.2,$-1.66,0.0
2019-12-31,22.2,$-1.51,0.0
2023-06-30,46.69,$2.39,19.55
2021-09-30,22.35,$0.22,101.78
2021-06-30,24.81,$-1.10,0.0
