Veren Price to Free Cash Flow Ratio Historical Data,Veren Price to Free Cash Flow Ratio Historical Data,Veren Price to Free Cash Flow Ratio Historical Data,Veren Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,6.11,,10.04
2024-06-30,7.73,$0.61,12.7
2024-03-31,7.95,$-2.33,0.0
2023-12-31,6.65,$-2.75,0.0
2023-09-30,7.87,$-1.52,0.0
2023-06-30,6.3,$-1.25,0.0
2023-03-31,6.54,$1.26,5.2
2022-12-31,6.53,$1.83,3.57
2022-09-30,5.56,$1.74,3.2
2022-06-30,6.37,$1.40,4.55
2022-03-31,6.45,$0.35,18.59
2021-12-31,4.73,$0.33,14.15
2021-09-30,4.06,$0.09,47.0
2021-06-30,3.99,$-0.03,0.0
2021-03-31,3.67,$0.49,7.42
2020-12-31,2.06,$0.95,2.18
2020-09-30,1.07,$1.79,0.6
2020-06-30,1.43,$1.93,0.74
2020-03-31,0.67,$2.52,0.27
2019-12-31,3.89,$1.85,2.1
2019-09-30,3.7,$1.03,3.59
2019-06-30,2.86,$0.80,3.57
2019-03-31,2.8,$0.67,4.16
2018-12-31,2.6,$0.22,11.72
2018-09-30,5.41,$0.22,24.45
2018-06-30,6.2,$0.01,601.47
2018-03-31,5.68,$-0.30,0.0
2017-12-31,6.31,$-0.25,0.0
2017-09-30,6.6,$-0.36,0.0
2017-06-30,6.21,$-0.55,0.0
2017-03-31,8.72,$-0.16,0.0
2016-12-31,10.89,$0.19,57.88
2016-09-30,10.52,$0.39,27.15
2016-06-30,12.52,$1.05,11.9
2016-03-31,10.93,$0.80,13.74
2015-12-31,9.06,$0.51,17.8
2015-09-30,8.74,$-1.22,0.0
2015-06-30,15.27,$0.53,28.67
2015-03-31,16.26,$0.28,58.03
2014-12-31,16.47,$0.56,29.27
2014-09-30,25.14,$2.10,11.97
2014-03-31,24.65,$0.43,56.87
2013-12-31,25.76,$0.24,105.84
2013-09-30,24.73,$-0.60,0.0
2013-06-30,21.79,$-0.62,0.0
2013-03-31,23.72,$-1.06,0.0
2012-12-31,23.3,$-0.86,0.0
2012-09-30,26.75,$-0.78,0.0
2012-06-30,22.14,0,0.0
