Teva Pharmaceutical Industries Price to Free Cash Flow Ratio Historical Data,Teva Pharmaceutical Industries Price to Free Cash Flow Ratio Historical Data,Teva Pharmaceutical Industries Price to Free Cash Flow Ratio Historical Data,Teva Pharmaceutical Industries Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,17.96,,29.0
2024-06-30,16.25,$0.62,26.24
2024-03-31,14.11,$0.85,16.69
2023-12-31,10.44,$0.81,12.84
2023-09-30,10.2,$0.63,16.07
2023-06-30,7.53,$1.13,6.65
2023-03-31,8.85,$0.91,9.72
2022-12-31,9.12,$1.00,9.12
2022-09-30,8.07,$0.54,14.92
2022-06-30,7.52,$0.52,14.45
2022-03-31,9.39,$0.71,13.28
2021-12-31,8.01,$0.49,16.21
2021-09-30,9.74,$0.34,29.0
2021-06-30,9.9,$0.14,72.69
2021-03-31,11.54,$0.10,115.28
2020-12-31,9.65,$0.64,14.99
2020-09-30,9.01,$1.04,8.7
2020-06-30,12.33,$1.05,11.75
2020-03-31,8.98,$0.69,13.06
2019-12-31,9.8,$0.52,18.89
2019-09-30,6.88,$0.99,6.94
2019-06-30,9.23,$0.27,34.3
2019-03-31,15.68,$0.51,30.55
2018-12-31,15.42,$2.63,5.86
2018-09-30,21.54,$4.04,5.33
2018-06-30,24.32,$5.28,4.61
2018-03-31,17.09,$5.54,3.08
2017-12-31,18.95,$4.75,3.99
2017-09-30,17.5,$3.80,4.61
2017-06-30,32.86,$6.01,5.47
2017-03-31,31.37,$6.60,4.76
2016-12-31,35.1,$6.58,5.33
2016-09-30,44.14,$6.70,6.58
2016-06-30,47.88,$4.94,9.69
2016-03-31,50.67,$5.98,8.47
2015-12-31,61.79,$6.13,10.08
2015-09-30,52.84,$6.29,8.41
2015-06-30,55.04,$6.56,8.39
2015-03-31,57.7,$5.77,10.01
2014-12-31,52.94,$5.12,10.34
2014-09-30,49.21,$3.97,12.4
2014-06-30,47.68,$2.84,16.78
2014-03-31,47.72,$2.48,19.24
2013-12-31,35.94,$2.82,12.77
2013-09-30,33.63,$3.71,9.06
2013-06-30,34.66,$4.43,7.83
2013-03-31,34.85,$4.73,7.37
2012-12-31,32.57,$4.27,7.62
2012-09-30,35.94,$4.14,8.69
2012-06-30,34.05,$3.41,9.97
2012-03-31,38.7,$3.62,10.69
2011-12-31,34.51,$3.76,9.17
2011-09-30,31.69,$2.64,12.02
2011-06-30,40.86,$3.54,11.54
2011-03-31,42.35,$3.70,11.46
2010-12-31,43.81,$3.72,11.78
2010-09-30,44.18,$4.36,10.14
2010-06-30,43.4,$4.05,10.72
2010-03-31,52.51,$3.16,16.59
2009-12-31,46.64,$2.95,15.82
