Performance Food Group Price to Free Cash Flow Ratio Historical Data,Performance Food Group Price to Free Cash Flow Ratio Historical Data,Performance Food Group Price to Free Cash Flow Ratio Historical Data,Performance Food Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,83.19,,16.47
2024-06-30,66.11,$5.05,13.09
2024-03-31,74.64,$5.33,13.99
2023-12-31,69.15,$4.47,15.46
2023-09-30,58.86,$2.30,25.6
2023-06-30,60.24,$3.85,15.64
2023-03-31,60.34,$2.00,30.15
2022-12-31,58.39,$1.99,29.37
2022-09-30,42.95,$2.15,19.95
2022-06-30,45.98,$0.43,106.21
2022-03-31,50.91,$0.30,170.21
2021-12-31,45.89,$0.44,104.49
2021-09-30,46.46,$0.44,104.83
2021-06-30,48.49,$-0.88,0.0
2021-03-31,57.61,$5.30,10.87
2020-12-31,47.61,$2.34,20.31
2020-09-30,34.62,$2.28,15.19
2020-06-30,29.14,$4.13,7.06
2020-03-31,24.72,$-0.61,0.0
2019-12-31,51.48,$2.63,19.55
2019-09-30,46.01,$2.22,20.72
2019-06-30,40.03,$1.71,23.45
2019-03-31,39.64,$2.29,17.34
2018-12-31,32.27,$2.34,13.78
2018-09-30,33.3,$2.26,14.72
2018-06-30,36.7,$2.19,16.79
2018-03-31,29.85,$2.15,13.9
2017-12-31,33.1,$1.58,20.97
2017-09-30,28.25,$1.67,16.88
2017-06-30,27.4,$0.61,45.08
2017-03-31,23.8,$0.58,41.16
2016-12-31,24.0,$0.41,58.42
2016-09-30,24.8,$0.05,484.38
